Electorate,division_key,LegacyWinner,LegacyRunnerUp,LegacyFinalTwo,LegacyWinnerShare,LegacyEliminationOrder,DirectWinner,DirectRunnerUp,DirectFinalTwo,DirectWinnerShare,DirectEliminationOrder,CanonicalWinner,CanonicalRunnerUp,CanonicalFinalTwo,CanonicalWinnerShare,CanonicalEliminationOrder,ActualWinner,ActualRunnerUp,ActualFinalTwo,ActualWinnerShare,WinnerChanged,FinalTwoChanged,EliminationOrderChanged,WinnerShareDeltaPP,LegacyWinnerMatchedActual,DirectWinnerMatchedActual,CanonicalWinnerMatchedActual,LegacyFinalTwoMatchedActual,DirectFinalTwoMatchedActual,CanonicalFinalTwoMatchedActual,LegacyAbsoluteWinnerErrorPP,DirectAbsoluteWinnerErrorPP,CanonicalAbsoluteWinnerErrorPP,AbsoluteErrorChangePP,ReviewPriority
Barker,BARKER,LNP,ON,LNP+ON,0.5775655662490051,IND>OTH>GRN>ALP,LNP,ON,LNP+ON,0.5747213469455184,IND>OTH>GRN>ALP,LNP,ON,LNP+ON,0.5751361404402966,IND>OTH>GRN>ALP,LNP,ON,LNP+ON,58.4741,False,False,False,-0.24294258087085296,True,True,True,True,True,True,0.7175433750994831,1.0019653054481603,0.960485955970336,0.24294258087085296,LOW
Werriwa,WERRIWA,ALP,LNP,ALP+LNP,0.5472762346008302,IND>OTH>GRN>ON,ALP,LNP,ALP+LNP,0.5576469414841242,IND>OTH>GRN>ON,ALP,LNP,ALP+LNP,0.54962593837152,IND>OTH>GRN>ON,ALP,LNP,ALP+LNP,54.7276,False,False,False,0.23497037706897705,True,True,True,True,True,True,2.3460083020676592e-05,1.0370941484124208,0.23499383715199773,0.23497037706897705,LOW
Oxley,OXLEY,ALP,ON,ALP+ON,0.6371367127096818,OTH>LNP>GRN,ALP,ON,ALP+ON,0.6380089686921542,OTH>LNP>GRN,ALP,ON,ALP+ON,0.6393387639667425,OTH>LNP>GRN,ALP,ON,ALP+ON,63.7137,False,False,False,0.22020512570607442,True,True,True,True,True,True,2.8729031831264962e-05,0.08719686921541125,0.22017639667424316,0.2201476676424119,LOW
Hawke,HAWKE,ALP,ON,ALP+ON,0.5008978623976252,GRN>OTH>LNP,ON,ALP,ALP+ON,0.5018894852139242,GRN>OTH>LNP,ALP,ON,ALP+ON,0.5027207409042119,GRN>OTH>LNP,ON,ALP,ALP+ON,50.0249,False,False,False,0.18228785065866893,False,True,False,True,True,True,0.06488623976251828,0.16404852139241255,0.2471740904211872,0.18228785065866893,LOW
Macnamara,MACNAMARA,ALP,LNP,ALP+LNP,0.6336229530699395,OTH>ON>GRN,ALP,LNP,ALP+LNP,0.6366180948166142,OTH>ON>GRN,ALP,LNP,ALP+LNP,0.6354002471651481,OTH>ON>GRN,ALP,LNP,ALP+LNP,63.3623,False,False,False,0.1777294095208548,True,True,True,True,True,True,4.6930060393357564e-06,0.29950948166143077,0.17772471651481547,0.17772002350877614,LOW
Dunkley,DUNKLEY,ALP,ON,ALP+ON,0.5427235930736325,IND>OTH>GRN>LNP,ALP,ON,ALP+ON,0.5480196780909312,IND>OTH>GRN>LNP,ALP,ON,ALP+ON,0.5410793920519047,IND>OTH>GRN>LNP,ALP,ON,ALP+ON,55.2569,False,False,False,-0.1644201021727798,True,True,True,True,True,True,0.9845406926367484,0.454932190906876,1.1489607948095282,0.1644201021727798,LOW
Kingston,KINGSTON,ALP,ON,ALP+ON,0.6447615639482652,IND>OTH>LNP>GRN,ALP,ON,ALP+ON,0.6367008106577479,IND>OTH>LNP>GRN,ALP,ON,ALP+ON,0.6432011527149756,IND>OTH>LNP>GRN,ALP,ON,ALP+ON,64.4762,False,False,False,-0.15604112332896491,True,True,True,True,True,True,4.3605173483118875e-05,0.8061189342252195,0.15608472850244803,0.15604112332896491,LOW
Robertson,ROBERTSON,ALP,ON,ALP+ON,0.5291981079286238,IND>OTH>GRN>LNP,ALP,ON,ALP+ON,0.5326607174999218,IND>OTH>GRN>LNP,ALP,ON,ALP+ON,0.5307181819068142,IND>OTH>GRN>LNP,ALP,ON,ALP+ON,54.8456,False,False,False,0.15200739781904282,True,True,True,True,True,True,1.9257892071376181,1.5795282500078112,1.7737818093185753,-0.15200739781904282,LOW
Durack,DURACK,LNP,ON,LNP+ON,0.5036505259923825,GRN>OTH>ALP,LNP,ON,LNP+ON,0.5021960021499107,GRN>OTH>ALP,LNP,ON,LNP+ON,0.5047613419507456,GRN>OTH>ALP,LNP,ON,LNP+ON,50.3651,False,False,False,0.11108159583631538,True,True,True,True,True,True,4.7400761749027964e-05,0.14549978500892902,0.11103419507456636,0.11098679431281733,LOW
O'Connor,O'CONNOR,LNP,ON,LNP+ON,0.5091271463224937,GRN>OTH>ALP,LNP,ON,LNP+ON,0.5078229472458805,GRN>OTH>ALP,LNP,ON,LNP+ON,0.5101231596602485,GRN>OTH>ALP,LNP,ON,LNP+ON,50.9127,False,False,False,0.09960133377547864,True,True,True,True,True,True,1.4632249367707573e-05,0.1304052754119489,0.09961596602484635,0.09960133377547864,LOW
