,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ALP,,,,,,,LNP,,,,,,,GRN,,,,,,,ON,,,,,,,,,,IND,,,,,,,OTH,,,,,,
Division,2022 Primary,2022 Aus Primary,2022 Lean,2025 Primary,2025 Aus Primary,2025 Lean,New PVI,2022 Primary,2022 Aus Primary,2022 Lean,2025 Primary,2025 Aus Primary,2025 Lean,New PVI,2022 Primary,2022 Aus Primary,2022 Lean,2025 Primary,2025 Aus Primary,2025 Lean,New PVI,2022 Primary,2022 Aus Primary,2022 M-Lean,2022 Lean,2025 Primary,2025 Aus Primary,2025 M-Lean,2025 Lean,2025 M-PVI,New PVI,2022 Primary,2022 Aus Primary,2022 Lean,2025 Primary,2025 Aus Primary,2025 Lean,New PVI,2022 Primary,2022 Aus Primary,2022 Lean,2025 Primary,2025 Aus Primary,2025 Lean,New PVI
Whitlam,0.4239112445,,0.09811124447,0.3863112445,,0.04071124447,0.05506124447,0.2983399466,,-0.05866005342,0.2827399466,,-0.03546005342,-0.04126005342,0.1045172381,,-0.0179827619,0.1241172381,,0.002117238099,-0.002907761901,0.05434934685,,1.095752961,0.004749346848,0.07664934685,,1.197646044,0.01264934685,1.172172774,0.01067434685,4.162611146e-05,,-0.05285837389,0.048,,-0.0247,0.0129,0.1188405979,,0.0268405979,0.0445405979,,-0.0319594021,-0.0172594021
"Calare** (check dist of Hook prefs, incl in IND or OTH?)",0.151422132,,-0.174377868,0.104322132,,-0.241277868,-0.224552868,0.4767477505,,0.1197477505,0.2971477505,,-0.02105224952,0.01414775048,0.04561670227,,-0.07688329773,0.03531670227,,-0.08668329773,-0.08423329773,0.06936412433,,1.398470249,0.01976412433,0.07716412433,,1.205689443,0.01316412433,1.253884644,0.01481412433,0.2039533421,,0.1510533421,0.3945533421,,0.3218533421,0.2791533421,0.05289594888,,-0.03910405112,0.09149594888,,0.01499594888,0.001470948883
Eden-Monaro,0.3849750187,,0.05917501868,0.4303750187,,0.08477501868,0.07837501868,0.3437219035,,-0.01327809652,0.3188219035,,0.0006219034812,-0.002853096519,0.08578201106,,-0.03671798894,0.1002820111,,-0.02171798894,-0.02546798894,0.07677829075,,1.54794941,0.02717829075,0.06957829075,,1.087160793,0.005578290752,1.202357947,0.01097829075,0.01642008068,,-0.03647991932,0.0233,,-0.0494,-0.04616997983,0.09232269535,,0.0003226953534,0.04172269535,,-0.03477730465,-0.02600230465
Gilmore,0.3593774081,,0.03357740808,0.3812774081,,0.03567740808,0.03515240808,0.4200031228,,0.06300312283,0.3444031228,,0.02620312283,0.03540312283,0.1023253555,,-0.02017464454,0.07142535546,,-0.05057464454,-0.04297464454,0.02413917049,,0.4866768243,-0.02546082951,0.05003917049,,0.7818620388,-0.01396082951,0.7080657352,-0.01683582951,-2.157708482e-05,,-0.05292157708,0.07537842292,,0.002678422915,0.0027,0.09417652022,,0.00217652022,0.07747652022,,0.0009765202201,0.00127652022
Hunter,0.3943419084,,0.06854190845,0.4350419084,,0.08944190845,0.08421690845,0.2467928147,,-0.1102071853,0.1816928147,,-0.1365071853,-0.1299321853,0.08819944122,,-0.03430055878,0.07419944122,,-0.04780055878,-0.04442555878,0.1512848342,,3.050097463,0.1016848342,0.1612848342,,2.520075534,0.09728483416,2.652581016,0.09838483416,0,,-0.0529,0,,-0.0727,,0.1193810015,,0.0273810015,0.1477810015,,0.0712810015,0.0603060015
Lyne,0.2128435757,,-0.1129564243,0.1981435757,,-0.1474564243,-0.1388314243,0.4350228166,,0.07802281664,0.3623228166,,0.04412281664,0.05259781664,0.07850429813,,-0.04399570187,0.06380429813,,-0.05819570187,-0.05464570187,0.0234957476,,0.4737045887,-0.0261042524,0.0838957476,,1.310871056,0.0198957476,1.101579439,0.008395747599,4.284407865e-05,,-0.05285715592,0.1549428441,,0.08224284408,0.0822,0.2500907179,,0.1580907179,0.1368907179,,0.06039071788,0.08481571788
New England,0.1994815717,,-0.1263184283,0.2031815717,,-0.1424184283,-0.1383934283,0.5077957917,,0.1507957917,0.5221957917,,0.2039957917,0.1906957917,0.07510962517,,-0.04739037483,0.07890962517,,-0.04309037483,-0.04416537483,0.09498371959,,1.914994347,0.04538371959,0.09958371959,,1.555995619,0.03558371959,1.645745301,0.03803371959,0.02498044007,,-0.02791955993,0.03708044007,,-0.03561955993,-0.03369455993,0.09764885173,,0.005648851731,0.05904885173,,-0.01745114827,-0.01167614827
Page,0.1857747421,,-0.1400252579,0.2203747421,,-0.1252252579,-0.1289252579,0.4543769467,,0.09737694667,0.4465769467,,0.1283769467,0.1206269467,0.0842701396,,-0.0382298604,0.1511701396,,0.0291701396,0.0123201396,0.009992025578,,0.2014521286,-0.03960797442,0.05699202558,,0.8905003997,-0.007007974422,0.7182383319,-0.01515797442,4.886889604e-06,,-0.05289511311,0.021,,-0.0517,-0.0384,0.2655812592,,0.1735812592,0.09058125918,,0.01408125918,0.05395625918
Parkes,0.1952878641,,-0.1305121359,0.1966878641,,-0.1489121359,-0.1443121359,0.4897919418,,0.1327919418,0.3995919418,,0.0813919418,0.0942419418,0.04735618427,,-0.07514381573,0.06105618427,,-0.06094381573,-0.06449381573,0.1334278824,,2.690078274,0.08382788239,0.1365278824,,2.133248162,0.07252788239,2.27245569,0.07535288239,0.02035997979,,-0.03254002021,0.02475997979,,-0.04794002021,-0.04409002021,0.1137761477,,0.02177614766,0.1813761477,,0.1048761477,0.08410114766
Richmond,0.2879579998,,-0.03784200015,0.3039579998,,-0.04164200015,-0.04069200015,0.2334790228,,-0.1235209772,0.2457790228,,-0.07242097721,-0.08519597721,0.2527210153,,0.1302210153,0.2647210153,,0.1427210153,0.1395960153,-0.004903704551,,-0.0988650111,-0.05450370455,0.05439629545,,0.8499421164,-0.009603704551,0.6127403345,-0.02082870455,2.14193155e-05,,-0.05287858068,0.0167,,-0.056,-0.0467,0.2307242473,,0.1387242473,0.1051242473,,0.02862424727,0.05614924727
