(VIC)",FULL DISTRIBUTION,,,,,,,,MARIBYRNONG (VIC),RAW,,,,,,,,,AliveMask,,,,,,,,"MARIBYRNONG
(VIC)",FULL DISTRIBUTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,VIC,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Round 5 (2CP),0.4456942794,0.5565335685161465,0.0,0.0,0.0,0.0,2.0,1.002227848,,True,True,False,False,False,False,ALP,,2CP,0.4447035476,0.5552964524,,,,,,,Round 5 (2CP),0.5755526875,0.0,0.0,0.42673398812895436,0.0,0.0,2.0,1.002286676,,True,False,False,True,False,False,ON,,2CP,0.5742395878,,,0.4257604122,,,,,Round 5 (2CP),0.4859103656,0.49920667549665,0.0,0.0,0.0,0.0,2.0,0.9851170411,,True,True,False,False,False,False,ALP,,2CP,0.493251406,0.506748594,,,,,,,Round 5 (2CP),0.5719155594,0.40817905443048685,0.0,0.0,0.0,0.0,2.0,0.9800946138,,True,True,False,False,False,False,LNP,,2CP,0.5835309687,0.4164690313,,,,,,,Round 5 (2CP),0.5971848217,0.0,0.0,0.40665086381277205,0.0,0.0,2.0,1.003835685,,True,False,False,True,False,False,ON,,2CP,0.594902961,,,0.405097039,,,,,Round 5 (2CP),0.5028058223,0.0,0.0,0.5033065240482577,0.0,0.0,2.0,1.006112346,,True,False,False,True,False,False,ALP,,2CP,0.4997511701,,,0.5002488299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Primary row,,,,3,,,,,,,,,,,,,SWING,-0.03469192428,0.03469192428,,,,,,,,Primary row,,,,3,,,,,,,,,,,,,SWING,-0.03240858512,-0.3933518271,,0.4257604122,,,,,,Primary row,,,,3,,,,,,,,,,,,,SWING,-0.02073792026,0.02073792026,,,,,,,,Primary row,,,,3,,,,,,,,,,,,,SWING,0.003056060002,-0.003056060002,,,,,,,,Primary row,,,,3,,,,,,,,,,,,,SWING,-0.03741035604,-0.3676866829,,0.405097039,,,,,,Primary row,,,,3,,,,,,,,,,,,,SWING,-0.07655136226,-0.4236974677,,0.5002488299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,74.0,,,,,,,,,,,,,,,,,RESULT,LIBERAL RETAIN,,,,,,,,,75.0,,,,,,,,,,,,,,,,,RESULT,LABOR RETAIN,,,,,,,,,76.0,,,,,,,,,,,,,,,,,RESULT,NATIONAL GAIN,,,,,,,,,77.0,,,,,,,,,,,,,,,,,RESULT,LABOR RETAIN,,,,,,,,,78.0,,,,,,,,,,,,,,,,,RESULT,LABOR RETAIN,,,,,,,,,79.0,,,,,,,,,,,,,,,,,RESULT,ONE NATION GAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RURAL,CASEY (VIC),RAW,,,,,,,,,AliveMask,,,,,,,,"CASEY
(VIC)",FULL DISTRIBUTION,,,,,,,,FLINDERS (VIC),RAW,,,,,,,,,AliveMask,,,,,,,,"FLINDERS
(VIC)",FULL DISTRIBUTION,,,,,,,,GIPPSLAND (VIC),RAW,,,,,,,,,AliveMask,,,,,,,,"GIPPSLAND
(VIC)",FULL DISTRIBUTION,,,,,,,,MONASH (VIC),RAW,,,,,,,,,AliveMask,,,,,,,,"MONASH
(VIC)",FULL DISTRIBUTION,,,,,,,,INDI (VIC),RAW,,,,,,,,,AliveMask,,,,,,,,"INDI
(VIC)",FULL DISTRIBUTION,,,,,,,,MCEWEN (VIC),RAW,,,,,,,,,AliveMask,,,,,,,,"MCEWEN
(VIC)",FULL DISTRIBUTION,,,,,,,,NICHOLLS (VIC),RAW,,,,,,,,,AliveMask,,,,,,,,"NICHOLLS
(VIC)",FULL DISTRIBUTION,,,,,,,,MALLEE (VIC),RAW,,,,,,,,,AliveMask,,,,,,,,"MALLEE
(VIC)",FULL DISTRIBUTION,,,,,,,,WANNON (VIC),RAW,,,,,,,,,AliveMask,,,,,,,,"WANNON
(VIC)",FULL DISTRIBUTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Primary,0.183905231,0.2850549312,0.1327970526,0.2003577383,0.1010813431,0.0871927015,6,0.9903889977,,True,True,True,True,True,False,OTH,,ROUND 1,0.185689897,0.2878211813,0.1340857511,0.2023020639,0.1020622637,0.08803884302,,,Primary,0.1637992791,0.3045825383,0.08943929957,0.2034357603,0.2182,0.06245744803,6,1.041914325,,True,True,True,True,True,False,OTH,,ROUND 1,0.1572099309,0.2923297347,0.08584131862,0.1952519083,0.2094222094,0.05994489807,,,Primary,0.1471356584,0.4164632181,0.1028040746,0.3071826868,0,0.03598348813,5,1.009569126,,True,True,True,True,False,True,IND,,ROUND 1,0.145741044,0.4125158024,0.1018296538,0.3042710785,0,0.03564242131,,,Primary,0.1555672549,0.2198947502,0.07944268745,0.2512153697,0.2336457559,0.06899602391,6,1.008761842,,True,True,True,True,True,False,OTH,,ROUND 1,0.1542160383,0.2179848018,0.078752669,0.2490333786,0.2316163698,0.06839674245,,,Primary,0.02327235878,0.1936479792,0.0539095663,0.2350225813,0.4319326991,0.06612878161,1,1.003913966,,False,True,True,True,True,True,ALP,,ROUND 1,0.02318162668,0.1928930025,0.0536993887,0.2341062971,0.4302487201,0.06587096488,,,Primary,0.3126267972,0.2128181726,0.13613734,0.229469525,0,0.1092104004,5,1.000262235,,True,True,True,True,False,True,IND,,ROUND 1,0.312544837,0.2127623788,0.1361016494,0.2294093658,0,0.109181769,,,Primary,0.1539782656,0.3420152482,0.08572466336,0.2769183743,0.2722,0.08600386895,3,1.21684042,,True,True,False,True,True,True,GRN,,ROUND 1,0.1265394073,0.2810682835,0.07044856657,0.2275716434,0.2236940814,0.07067801784,,,Primary,0.1114596405,0.34871921,0.09346723567,0.2649801805,0.1389,0.1580888857,3,1.115615152,,True,True,False,True,True,True,GRN,,ROUND 1,0.0999086829,0.3125802023,0.08378089476,0.2375193452,0.1245053007,0.1417055741,,,Primary,0.06744327037,0.3249931523,0.05575317296,0.1879849549,0.289781951,0.05892650531,3,0.9848830068,,True,True,False,True,True,True,GRN,,ROUND 1,0.06847845876,0.3299814801,0.05660892977,0.1908703405,0.2942298212,0.05983096967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Eliminated,0.0871927015,,OTH,ALP+LNP+GRN+ON+IND,6,,,,,,,,,,,,,SWING,-0.05686533398,-0.12088375,0.02466369846,0.1516333233,-0.003019079352,0.00447114152,,,Eliminated,0.06245744803,,OTH,ALP+LNP+GRN+ON+IND,6,,,,,,,,,,,,,SWING,-0.06573934819,-0.1199028036,0.02227701905,0.1422512035,-0.0114735208,0.03258745004,,,Eliminated,0,,IND,ALP+LNP+GRN+ON+OTH,5,,,,,,,,,,,,,SWING,-0.06704461442,-0.1128474157,0.01690057921,0.1599575177,0,0.003033933179,,,Eliminated,0.06899602391,,OTH,ALP+LNP+GRN+ON+IND,6,,,,,,,,,,,,,SWING,-0.04875121658,-0.09980994841,0.02943498155,0.169379851,-0.04127938606,-0.008974281458,,,Eliminated,0.02327235878,,ALP,LNP+GRN+ON+IND+OTH,1,,,,,,,,,,,,,SWING,-0.06024073211,-0.1141549767,0.0174148224,0.1620476821,-0.006933978983,0.001867183265,,,Eliminated,0,,IND,ALP+LNP+GRN+ON+OTH,5,,,,,,,,,,,,,SWING,-0.06098196027,-0.1124557938,0.02508930935,0.163752076,0,-0.01540363131,,,Eliminated,0.08572466336,,GRN,ALP+LNP+ON+IND+OTH,3,,,,,,,,,,,,,SWING,-0.1158388583,-0.1813469648,-0.007651096793,0.1128686896,0.2236940814,-0.0317258511,,,Eliminated,0.09346723567,,GRN,ALP+LNP+ON+IND+OTH,3,,,,,,,,,,,,,SWING,-0.07820095759,-0.1505390077,-0.001311340909,0.135004317,0.1245053007,-0.02945831154,,,Eliminated,0.05575317296,,GRN,ALP+LNP+ON+IND+OTH,3,,,,,,,,,,,,,SWING,-0.03711481161,-0.1064116722,0.0249807568,0.1490683925,-0.02680212981,-0.003720535641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Weights,0.08390096227,0.19688614985403827,0.14898907990052979,0.4334522651097416,0.1367715428694994,0.0,,,,,,,,,,,,ELIMINATED,OTHER,,,0.08803884302,,,,,Weights,0.08511154219,0.20392822502424832,0.07419980601357905,0.3268671193016489,0.3098933074684772,0.0,,,,,,,,,,,,ELIMINATED,OTHER,,,0.05994489807,,,,,Weights,0.4437130834,0.28199178560491983,0.1315218729578452,0.07783155123263281,0.0,0.06494170683891011,,,,,,,,,,,,ELIMINATED,INDEPENDENT,,,0,,,,,Weights,0.1747662686,0.5066648153290754,0.0525317041562529,0.06576876793483293,0.20026844395075444,0.0,,,,,,,,,,,,ELIMINATED,OTHER,,,0.06839674245,,,,,Weights,0,0.11228519439228574,0.12963831335977719,0.09986621674025939,0.5745798003620958,0.0836304751455819,,,,,,,,,,,,ELIMINATED,LABOR,,,0.02318162668,,,,,Weights,0.4437130834,0.28199178560491983,0.1315218729578452,0.07783155123263281,0.0,0.06494170683891011,,,,,,,,,,,,ELIMINATED,INDEPENDENT,,,0,,,,,Weights,0.5306223667,0.286747572815534,0.0,0.07763006045063199,0.08962234068364099,0.015377659316358993,,,,,,,,,,,,ELIMINATED,GREENS,,,0.07044856657,,,,,Weights,0.6831606009,0.16777688104103558,0.0,0.044062518063871695,0.08962234068364099,0.015377659316358993,,,,,,,,,,,,ELIMINATED,GREENS,,,0.08378089476,,,,,Weights,0.5300917947,0.11755571068515554,0.0,0.03813278230955788,0.2092197123279011,0.105,,,,,,,,,,,,ELIMINATED,GREENS,,,0.05660892977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.007315551559,0.01716703529,0.01299076037,0.03779387397,0.01192548031,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.005315849723,0.01273683652,0.004634330528,0.02041528612,0.01935514515,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,,,,,,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.01205817765,0.03495785771,0.003624478716,0.004537783485,0.01381772635,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,,0.00261314133,0.00301698934,0.002324122426,0.01337182726,0.001946278423,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,,,,,,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.04548742376,0.02458133915,,0.006654810799,0.007682844985,0.001318244668,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.06385313288,0.01568164128,,0.00411840176,0.008376752438,0.001437307307,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.02955429952,0.006554103871,,0.002126023608,0.01166466281,0.005854083161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Round 2,0.1912207826,0.3022219665213538,0.1457878129841206,0.23815161226010126,0.11300682339951695,0.0,5,0.9903889977,,True,True,True,True,True,False,IND,,ROUND 2,0.1930764407,0.3051548101,0.1472025773,0.2404626998,0.1141034721,,,,Round 2,0.1691151288,0.31731937482464645,0.0940736301024581,0.22385104643315856,0.2375551451461875,0.0,3,1.041914325,,True,True,True,True,True,False,GRN,,ROUND 2,0.1623119336,0.3045541914,0.09028921843,0.2148459245,0.2279987321,,,,Round 2,0.1471356584,0.4164632180835831,0.10280407462914529,0.3071826867952498,0.0,0.03598348813455777,6,1.009569126,,True,True,True,True,False,True,OTH,,ROUND 2,0.145741044,0.4125158024,0.1018296538,0.3042710785,,0.03564242131,,,Round 2,0.1676254325,0.2548526079530861,0.08306716616893788,0.2557531532271856,0.24746348225545767,0.0,3,1.008761842,,True,True,True,True,True,False,GRN,,ROUND 2,0.1661694817,0.2526390247,0.08234566644,0.2535317481,0.245314079,,,,Round 2,0,0.19626112053076208,0.05692655563658241,0.23734670369135002,0.4453045263875169,0.06807506003447793,3,1.003913966,,False,True,True,True,True,True,GRN,,ROUND 2,,0.195495956,0.05670461568,0.2364213585,0.4435684146,0.06780965533,,,Round 2,0.3126267972,0.2128181726072702,0.13613734001472008,0.2294695250355962,0.0,0.10921040035748766,6,1.000262235,,True,True,True,True,False,True,OTH,,ROUND 2,0.312544837,0.2127623788,0.1361016494,0.2294093658,,0.109181769,,,Round 2,0.1994656894,0.3665965873600552,0.0,0.2835731850870811,0.2798828449849558,0.08732211361705453,6,1.21684042,,True,True,False,True,True,True,OTH,,ROUND 2,0.1639209925,0.3012692389,,0.2330405699,0.2300078468,0.0717613519,,,Round 2,0.1753127734,0.3644008512793271,0.0,0.26909858225176186,0.14727675243801522,0.15952619297648374,5,1.115615152,,True,True,False,True,True,True,IND,,ROUND 2,0.1571444893,0.3266366995,,0.2412109424,0.1320139406,0.1429939282,,,Round 2,0.09699756988,0.33154725617290814,0.0,0.1901109785060626,0.30144661381231225,0.06478058847402597,6,0.9848830068,,True,True,False,True,True,True,OTH,,ROUND 2,0.09848638793,0.336636183,,0.1930289965,0.3060735252,0.0657749073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Eliminated,0.1130068234,,IND,ALP+LNP+GRN+ON,5,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated,0.0940736301,,GRN,ALP+LNP+ON+IND,3,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated,0.03598348813,,OTH,ALP+LNP+GRN+ON,6,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated,0.08306716617,,GRN,ALP+LNP+ON+IND,3,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated,0.05692655564,,GRN,LNP+ON+IND+OTH,3,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated,0.1092104004,,OTH,ALP+LNP+GRN+ON,6,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated,0.08732211362,,OTH,ALP+LNP+ON+IND,6,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated,0.1472767524,,IND,ALP+LNP+ON+OTH,5,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated,0.06478058847,,OTH,ALP+LNP+ON+IND,6,,,,,,,,,,,,,SWING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Weights,0.5381607995,0.16869021030546846,0.14987780709326784,0.1432711831434581,0.0,0.0,,Calibrate,,,,,,,,,,ELIMINATED,INDEPENDENT,,,0.1141034721,,,,,Weights,0.3957941287,0.0642253167733032,0.0,0.105,0.4349805545100991,0.0,,Calibrate,,,,,,,,,,ELIMINATED,GREENS,,,0.09028921843,,,,,Weights,0.09982435597,0.39197892271662765,0.09221311475409837,0.41598360655737704,0.0,0.0,,Calibrate,,,,,,,,,,ELIMINATED,OTHER,,,0.03564242131,,,,,Weights,0.3853305785,0.052858126721763085,0.0,0.050792011019283746,0.5110192837465565,0.0,,Calibrate,,,,,,,,,,ELIMINATED,GREENS,,,0.08234566644,,,,,Weights,0,0.07116353034720381,0.0,0.15845746090644044,0.6653790087463557,0.105,,Calibrate,,,,,,,,,,ELIMINATED,GREENS,,,0.05670461568,,,,,Weights,0.1808347399,0.1448519257326991,0.33059690041430106,0.34371643394199786,0.0,0.0,,Calibrate,,,,,,,,,,ELIMINATED,OTHER,,,0.109181769,,,,,Weights,0.137678038,0.27888849131957416,0.0,0.44353350426727456,0.13989996637525218,0.0,,Calibrate,,,,,,,,,,ELIMINATED,OTHER,,,0.0717613519,,,,,Weights,0.3571428571,0.28571428571428575,0.0,0.17857142857142858,0.0,0.17857142857142858,,,,,,,,,,,,ELIMINATED,INDEPENDENT,,,0.1320139406,,,,,Weights,0.1242628072,0.21716494459560723,0.0,0.3880601594000131,0.27051208877380917,0.0,,,,,,,,,,,,ELIMINATED,OTHER,,,0.0657749073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,True,,,,,,,,,,DISTRIBUTED,0.06081584242,0.01906314481,0.01693721488,0.01619062129,,,,,,,,,,,,,True,,,,,,,,,,DISTRIBUTED,0.03723379046,0.006041908693,,0.009877731161,0.04092019979,,,,,,,,,,,,True,,,,,,,,,,DISTRIBUTED,0.003592028529,0.01410476891,0.003318149521,0.01496854117,,,,,,,,,,,,,True,,,,,,,,,,DISTRIBUTED,0.0320083192,0.004390774796,,0.004219148419,0.04244892376,,,,,,,,,,,,True,,,,,,,,,,DISTRIBUTED,,0.00405109467,,0.009020437464,0.03787773516,0.005977288342,,,,,,,,,,,True,,,,,,,,,,DISTRIBUTED,0.01974903434,0.0158193368,0.03610461985,0.03753740936,,,,,,,,,,,,,True,,,,,,,,,,DISTRIBUTED,0.01202233728,0.02435313253,,0.03873028305,0.01221636076,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.05259884016,0.04207907213,,0.02629942008,,0.02629942008,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.008049817778,0.01406807291,,0.02513876549,0.0175239323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Round 3,0.252036625,0.3212851113265712,0.1627250278618164,0.2543422335518339,0.0,0.0,3,0.9903889977,,True,True,True,True,False,False,GRN,,ROUND 3,0.2544824565,0.3244029488,0.1643041555,0.2568104393,,,,,Round 3,0.2063489193,0.32336128351799137,0.0,0.23372877759391666,0.2784753449329327,0.0,1,1.041914325,,True,True,False,True,True,False,ALP,,ROUND 3,0.1980478762,0.310353045,,0.2243262924,0.2672727864,,,,Round 3,0.1507276869,0.43056798699815363,0.10612222414975,0.3221512279659777,0.0,0.0,3,1.009569126,,True,True,True,True,False,False,GRN,,ROUND 3,0.1492990257,0.4264868803,0.1051163525,0.3190977415,,,,,Round 3,0.1996337517,0.2592433827488616,0.0,0.259972301646579,0.2899124060139645,0.0,1,1.008761842,,True,True,False,True,True,False,ALP,,ROUND 3,0.197899785,0.2569916624,,0.2577142501,0.2873943025,,,,Round 3,0,0.2003122152003678,0.0,0.2463671411556721,0.4831822615483303,0.07405234837631908,6,1.003913966,,False,True,False,True,True,True,OTH,,ROUND 3,,0.1995312566,,0.2454066279,0.4812984755,0.07376363998,,,Round 3,0.3323758316,0.22863750940909133,0.17224195986591037,0.26700693439584977,0.0,0.0,3,1.000262235,,True,True,True,True,False,False,GRN,,ROUND 3,0.3322886938,0.2285775683,0.1721968038,0.2669369341,,,,,Round 3,0.2114880267,0.39094971988555194,0.0,0.3223034681396784,0.29209920574379766,0.0,1,1.21684042,,True,True,False,True,True,False,ALP,,ROUND 3,0.1738009546,0.3212826541,,0.2648691338,0.2400472575,,,,Round 3,0.2279116135,0.4064799234044743,0.0,0.29539800232997887,0.0,0.18582561305470074,6,1.115615152,,True,True,False,True,False,True,OTH,,ROUND 3,0.2042923252,0.3643549683,,0.2647848604,,0.1665678462,,,Round 3,0.1050473877,0.34561532907974085,0.0,0.21524974399531976,0.31897054611241754,0.0,1,0.9848830068,,True,True,False,True,True,False,ALP,,ROUND 3,0.1066597626,0.3509201871,,0.2185536175,0.3238664328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Eliminated,0.1627250279,,GRN,ALP+LNP+ON,3,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated,0.2063489193,,ALP,LNP+ON+IND,1,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated,0.1061222241,,GRN,ALP+LNP+ON,3,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated,0.1996337517,,ALP,LNP+ON+IND,1,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated,0.07405234838,,OTH,LNP+ON+IND,6,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated,0.1722419599,,GRN,ALP+LNP+ON,3,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated,0.2114880267,,ALP,LNP+ON+IND,1,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated,0.1858256131,,OTH,ALP+LNP+ON,6,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated,0.1050473877,,ALP,LNP+ON+IND,1,,,,,,,,,,,,,SWING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Weights,0.7848422757,0.11015772426418817,0.0,0.10500000000000001,0.0,0.0,,,,,,,,,,,,ELIMINATED,GREENS,,,0.1643041555,,,,,Weights,0,0.6980015897198119,0.0,0.105,0.1969984102801881,0.0,,,,,,,,,,,,ELIMINATED,LABOR,,,0.1980478762,,,,,Weights,0.7429439861,0.18562744246634827,0.0,0.07142857142857144,0.0,0.0,,,,,,,,,,,,ELIMINATED,GREENS,,,0.1051163525,,,,,Weights,0,0.37901996084565515,0.0,0.026739072691320132,0.5942409664630247,0.0,,,,,,,,,,,,ELIMINATED,LABOR,,,0.197899785,,,,,Weights,0,0.22029970647304187,0.0,0.4663988876873165,0.3133014058396416,0.0,,,,,,,,,,,,ELIMINATED,OTHER,,,0.07376363998,,,,,Weights,0.6764751672,0.21852483280342072,0.0,0.10500000000000002,0.0,0.0,,,,,,,,,,,,ELIMINATED,GREENS,,,0.1721968038,,,,,Weights,0,0.37901996084565515,0.0,0.026739072691320132,0.5942409664630247,0.0,,,,,,,,,,,,ELIMINATED,LABOR,,,0.1738009546,,,,,Weights,0.185128519,0.2879436964504284,0.0,0.5269277845777234,0.0,0.0,,,,,,,,,,,,ELIMINATED,OTHER,,,0.1665678462,,,,,Weights,0,0.3207405500319333,0.0,0.10500000000000001,0.5742594499680668,0.0,,,,,,,,,,,,ELIMINATED,LABOR,,,0.1066597626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.1277134812,0.01792541875,,0.01708612793,,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,,0.1440318737,,0.02166663652,0.04065040906,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.07884286822,0.01969919706,,0.007580158868,,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,,0.07566517675,,0.005338021398,0.1186305535,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,,0.01631371061,,0.03453793291,0.02320070485,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.1165174086,0.03763914548,,0.01808540579,,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,,0.08015818358,,0.005654993718,0.1256748494,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.03440162053,0.05350731392,,0.0979166786,,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,,0.0336929569,,0.0110299757,0.06032445506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
