CLARK (TAS),RAW,,,,,,,,CLARK (TAS),HELPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ALP,LNP,GRN,ON,IND,OTH,PrefRow,,,ALP,LNP,GRN,ON,IND,OTH,,,ALP,LNP,GRN,ON,IND,OTH,,,ALP,LNP,GRN,ON,IND,OTH,ALP,LNP,GRN,ON,IND,OTH,ALP,LNP,GRN,ON,IND,OTH
Index,1,2,3,4,5,6,149.0,,Index,1,2,3,4,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALP,0.0,0,0,0,0,0,,,ALP,0,0,0,0,0,0,,ALP,0,0.4302737502,0.2442639822,0.2150654683,0,0.1103967992,1,,0.4969313523,0.19234571202556863,0.1474316640375965,0.12295112414950904,0.0,0.0403401474954348,0.4969313523,0.622619462266731,0.3916956462481028,0.3380165924977132,0.0,0.15073694669556195,0,0.31130973113336546,0.19584782312405136,0.16900829624885658,0.0,0.07536847334778096
LNP,0,0.0,0,0,0,0,,,LNP,0,0,0,0,0,0,,LNP,0.5161593222,0,0.2074414699,0.1826445982,0,0.09375460965,1,,0.23340950058153878,0.385439626110549,0.17548435571260418,0.1486841805472665,0.0,0.05698233704804173,0.7495688227802216,0.385439626110549,0.3829258256557696,0.3313287787578981,0.0,0.15073694669556198,0.37478441139011076,0.0,0.19146291282788475,0.16566438937894903,0.0,0.07536847334778098
GRN,0.7680227216,0.2319772784,0.0,0,0,0,,,GRN,0.7680227216,0.2319772784,0,0,0,0,,GRN,0.7680227216,0.2319772784,0,0,0,0,1,,0.1197372347962361,0.3304600166834222,0.2357219960300364,0.20754456312958927,0.0,0.10653618936071613,0.8877599563733809,0.5624372951062774,0.2357219960300364,0.20754456312958927,0.0,0.10653618936071613,0.44387997818669034,0.28121864755313863,0.0,0.10377228156479461,0.0,0.05326809468035805
ON,0.2832691,0.5250510088,0.1916798912,0.0,0,0,,,ON,0.2832691,0.5250510088,0.1916798912,0,0,0,,ON,0.2832691,0.5250510088,0.1916798912,0,0,0,1,,0.41822448453992866,0.16634863745927375,0.178109791466878,0.1568191322051471,0.0,0.08049795432877255,0.7014935845172581,0.6913996463008063,0.36978968264801604,0.1568191322051471,0.0,0.08049795432877255,0.350746792258629,0.3456998231504031,0.184894841324008,0.0,0.0,0.04024897716438627
IND,0.2223968566,0.1072691552,0.262475442,0.1332023576,0.0,0.2746561886,,,IND,0.2223968566,0.1072691552,0.262475442,0.1332023576,0,0.2746561886,,IND,0.2223968566,0.1072691552,0.262475442,0.1332023576,0,0.2746561886,1,,0.3601683549286513,0.28314667520327524,0.14428101234731505,0.1777950786284028,0.0,0.034608878892355595,0.5825652115101837,0.39041583040956207,0.40675645439053704,0.3109974361922535,0.0,0.30926506749746363,0.2912826057550918,0.19520791520478098,0.20337822719526846,0.15549871809612673,0.0,0.1546325337487318
OTH,0.2384113955,0.2061805891,0.1535490101,0.4018590053,0,0.0,,,OTH,0.2384113955,0.2061805891,0.1535490101,0.4018590053,0,0,,OTH,0.2384113955,0.2061805891,0.1535490101,0.4018590053,0,0,1,,0.33818540052945534,0.34919852285292485,0.17803401174199485,0.08893182927709584,0.0,0.045650235598529175,0.5765967959905852,0.5553791119403222,0.3315830218820238,0.49079083458853956,0.0,0.045650235598529175,0.28829839799529255,0.27768955597016104,0.16579151094101188,0.24539541729426972,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TASMANIA,RAW,,,,,,,,TASMANIA,HELPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ALP,LNP,GRN,ON,IND,OTH,PrefRow,,,ALP,LNP,GRN,ON,IND,OTH,,,ALP,LNP,GRN,ON,IND,OTH,,,ALP,LNP,GRN,ON,IND,OTH,ALP,LNP,GRN,ON,IND,OTH,ALP,LNP,GRN,ON,IND,OTH
Index,1,2,3,4,5,6,161.0,,Index,1,2,3,4,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALP,0.0,0,0,0,0,0,,,ALP,0,0,0,0,0,0,,ALP,0,0.3270767577,0.1470278175,0.1859950563,0.3148949613,0.02500540712,1,,0.3795355253,0.17659875207554693,0.10147209134963536,0.09425773655576465,0.22697580216124544,0.021160092511331066,0.3795355253,0.5036755098251682,0.24849990886928938,0.28025279282303645,0.5418707635004493,0.046165499635580254,0,0.2518377549125841,0.12424995443464469,0.14012639641151822,0.27093538175022464,0.023082749817790127
LNP,0.4468541301,0.0,0,0,0.5531458699,0,,,LNP,0.4468541301,0,0,0,0.5531458699,0,,LNP,0.4468541301,0,0,0,0.5531458699,0,1,,0.14108419895794438,0.24805192520355526,0.20521353018474858,0.22631724397742703,0.1407121140072161,0.038620987669108625,0.5879383290106684,0.24805192520355526,0.20521353018474858,0.22631724397742703,0.6938579839544919,0.038620987669108625,0.2939691645053342,0.0,0.10260676509237429,0.11315862198871351,0.34692899197724597,0.019310493834554313
GRN,0.624032016,0.1243821911,0.0,0.0364182091,0.2151675838,0,,,GRN,0.624032016,0.1243821911,0,0.0364182091,0.2151675838,0,,GRN,0.624032016,0.1243821911,0,0.0364182091,0.2151675838,0,1,,0.12150487620707709,0.26230542993734074,0.14979383856092282,0.17177185879128146,0.2672594079223757,0.02736458858100216,0.745536892215081,0.3866876210328885,0.14979383856092282,0.20819006789583372,0.4824269917142716,0.02736458858100216,0.3727684461075405,0.19334381051644425,0.0,0.10409503394791686,0.2412134958571358,0.01368229429050108
ON,0.3032548373,0.5097045148,0.1036448178,0.0,0.05363731813,0.02975851207,,,ON,0.3032548373,0.5097045148,0.1036448178,0,0.05363731813,0.02975851207,,ON,0.3032548373,0.5097045148,0.1036448178,0,0.05363731813,0.02975851207,1,,0.31196461536951603,0.12850652629239204,0.061414573016841764,0.08284716727638769,0.4050226119998296,0.010244506045032837,0.6152194526276531,0.6382110410666533,0.16505939077595383,0.08284716727638769,0.45865993013392287,0.04000301811942912,0.30760972631382655,0.31910552053332664,0.08252969538797691,0.0,0.22932996506696143,0.02000150905971456
IND,0.2550578548,0.1842123944,0.2522183574,0.2588911763,0.0,0.04962021722,,,IND,0.2550578548,0.1842123944,0.2522183574,0.2588911763,0,0.04962021722,,IND,0.2550578548,0.1842123944,0.2522183574,0.2588911763,0,0.04962021722,1,,0.3279607637044546,0.2576691110566557,0.06983477807922138,0.07126900561918863,0.2591842998472341,0.014082041693245586,0.5830186184641621,0.44188150546284577,0.3220531354299703,0.3301601818809903,0.2591842998472341,0.06370225891479737,0.29150930923208107,0.22094075273142288,0.16102656771498516,0.16508009094049514,0.0,0.03185112945739869
