,,,,,ScenarioKey,ScenarioTotal,ScenarioShare,Share
,,,,,ALP|GRN|IND|LNP|ON → ALP | OTH,6.923656636,0.01229286007,0.01229286007
,,,,,ALP|GRN|IND|LNP|ON → ALP | OTH,6.923656636,0.01547489467,0.01547489467
,,,,,ALP|GRN|IND|LNP|ON → ALP | OTH,6.923656636,0.0137302503,0.0137302503
,,,,,ALP|GRN|IND|LNP|ON → ALP | OTH,6.923656636,0.01117631281,0.01117631281
,,,,,ALP|GRN|IND|LNP|ON → ALP | OTH,6.923656636,0.03041425592,0.03041425592
,,,,,ALP|GRN|IND|LNP|ON → ALP | OTH,6.923656636,0.02097846051,0.02097846051
,,,,,ALP|GRN|IND|LNP|ON → ALP | OTH,6.923656636,0.009701010059,0.009701010059
,,,,,ALP|GRN|IND|LNP|ON → ALP | OTH,6.923656636,0.02025383534,0.02025383534
,,,,,ALP|GRN|IND|LNP|ON → ALP | OTH,6.923656636,0.01584298923,0.01584298923
,,,,,ALP|GRN|IND|LNP|ON → ALP | OTH,6.923656636,0.01823358675,0.01823358675
,,,,,ALP|GRN|IND|LNP|ON → ALP | OTH,6.923656636,0.01469012793,0.01469012793
,,,,,ALP|GRN|IND|LNP|ON → ALP | OTH,6.923656636,0.02945980792,0.02945980792
,,,,,ALP|GRN|IND|LNP|ON → ALP | OTH,6.923656636,0.01956377279,0.01956377279
,,,,,ALP|GRN|IND|LNP|ON → ALP | OTH,6.923656636,0.01728023993,0.01728023993
,,,,,ALP|GRN|IND|LNP|ON → ALP | OTH,6.923656636,0.01675504793,0.01675504793
,,,,,ALP|GRN|IND|LNP|ON → ALP | OTH,6.923656636,0.01772609422,0.01772609422
,,,,,ALP|GRN|IND|LNP|ON → ALP | OTH,6.923656636,0.01342980508,0.01342980508
,,,,,ALP|GRN|IND|LNP|ON → ALP | OTH,6.923656636,0.01640665431,0.01640665431
,,,,,ALP|GRN|IND|LNP|ON → ALP | OTH,6.923656636,0.0176486029,0.0176486029
,,,,,ALP|GRN|IND|LNP|ON → ALP | OTH,6.923656636,0.009763879274,0.009763879274
,,,,,ALP|GRN|IND|LNP|ON → ALP | OTH,6.923656636,0.008765174802,0.008765174802
,,,,,ALP|GRN|IND|LNP|ON → ALP | OTH,6.923656636,0.01123885461,0.01123885461
,,,,,ALP|GRN|IND|LNP|ON → ALP | OTH,6.923656636,0.01870134648,0.01870134648
,,,,,ALP|GRN|IND|LNP|ON → ALP | OTH,6.923656636,0.01535877184,0.01535877184
,,,,,ALP|GRN|IND|LNP|ON → ALP | OTH,6.923656636,0.01522912291,0.01522912291
,,,,,ALP|GRN|IND|LNP|ON → ALP | OTH,6.923656636,0.01371031651,0.01371031651
,,,,,ALP|GRN|IND|LNP|ON → ALP | OTH,6.923656636,0.01211801317,0.01211801317
,,,,,ALP|GRN|IND|LNP|ON → ALP | OTH,6.923656636,0.01109079129,0.01109079129
,,,,,ALP|GRN|IND|LNP|ON → ALP | OTH,6.923656636,0.02693327049,0.02693327049
,,,,,ALP|GRN|IND|LNP|ON → ALP | OTH,6.923656636,0.01283197131,0.01283197131
,,,,,ALP|GRN|IND|LNP|ON → ALP | OTH,6.923656636,0.01944081497,0.01944081497
,,,,,ALP|GRN|IND|LNP|ON → ALP | OTH,6.923656636,0.02633354328,0.02633354328
,,,,,ALP|GRN|IND|LNP|ON → ALP | OTH,6.923656636,0.02316742556,0.02316742556
,,,,,ALP|GRN|IND|LNP|ON → ALP | OTH,6.923656636,0.01569091354,0.01569091354
,,,,,ALP|GRN|IND|LNP|ON → ALP | OTH,6.923656636,0.02507214679,0.02507214679
,,,,,ALP|GRN|IND|LNP|ON → ALP | OTH,6.923656636,0.02827535748,0.02827535748
,,,,,ALP|GRN|IND|LNP|ON → ALP | OTH,6.923656636,0.0169574858,0.0169574858
,,,,,ALP|GRN|IND|LNP|ON → ALP | OTH,6.923656636,0.02386661965,0.02386661965
,,,,,ALP|GRN|IND|LNP|ON → ALP | OTH,6.923656636,0.0196919781,0.0196919781
,,,,,ALP|GRN|IND|LNP|ON → ALP | OTH,6.923656636,0.02323272579,0.02323272579
,,,,,ALP|GRN|IND|LNP|ON → ALP | OTH,6.923656636,0.01512870941,0.01512870941
,,,,,ALP|GRN|IND|LNP|ON → ALP | OTH,6.923656636,0.01760627093,0.01760627093
,,,,,ALP|GRN|IND|LNP|ON → ALP | OTH,6.923656636,0.03774206588,0.03774206588
,,,,,ALP|GRN|IND|LNP|ON → ALP | OTH,6.923656636,0.02363066629,0.02363066629
,,,,,ALP|GRN|IND|LNP|ON → ALP | OTH,6.923656636,0.0292324011,0.0292324011
,,,,,ALP|GRN|IND|LNP|ON → ALP | OTH,6.923656636,0.02550778845,0.02550778845
,,,,,ALP|GRN|IND|LNP|ON → ALP | OTH,6.923656636,0.02524190292,0.02524190292
,,,,,ALP|GRN|IND|LNP|ON → GRN | OTH,7.299046719,0.009175800405,0.009175800405
,,,,,ALP|GRN|IND|LNP|ON → GRN | OTH,7.299046719,0.01547248117,0.01547248117
,,,,,ALP|GRN|IND|LNP|ON → GRN | OTH,7.299046719,0.01117269584,0.01117269584
,,,,,ALP|GRN|IND|LNP|ON → GRN | OTH,7.299046719,0.008855984725,0.008855984725
,,,,,ALP|GRN|IND|LNP|ON → GRN | OTH,7.299046719,0.009136870169,0.009136870169
,,,,,ALP|GRN|IND|LNP|ON → GRN | OTH,7.299046719,0.008665927824,0.008665927824
,,,,,ALP|GRN|IND|LNP|ON → GRN | OTH,7.299046719,0.007686583055,0.007686583055
,,,,,ALP|GRN|IND|LNP|ON → GRN | OTH,7.299046719,0.007901512555,0.007901512555
,,,,,ALP|GRN|IND|LNP|ON → GRN | OTH,7.299046719,0.008806044961,0.008806044961
,,,,,ALP|GRN|IND|LNP|ON → GRN | OTH,7.299046719,0.01202464433,0.01202464433
,,,,,ALP|GRN|IND|LNP|ON → GRN | OTH,7.299046719,0.01150532443,0.01150532443
,,,,,ALP|GRN|IND|LNP|ON → GRN | OTH,7.299046719,0.01016568449,0.01016568449
,,,,,ALP|GRN|IND|LNP|ON → GRN | OTH,7.299046719,0.01052718254,0.01052718254
