(NSW)",FULL DISTRIBUTION,,,,,,,,GRAYNDLER (NSW),RAW,,,,,,,,,AliveMask,,,,,,,,"GRAYNDLER
(NSW)",FULL DISTRIBUTION,,,,,,,,PARRAMATTA (NSW),RAW,,,,,,,,,AliveMask,,,,,,,,PARRAMATTA (NSW),FULL DISTRIBUTION,,,,,,,,REID (NSW),RAW,,,,,,,,,AliveMask,,,,,,,,REID (NSW),FULL DISTRIBUTION,,,,,,,,WATSON (NSW),RAW,,,,,,,,,AliveMask,,,,,,,,WATSON (NSW),FULL DISTRIBUTION,,,,,
,NSW,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH
,Eliminated ,0.2389184622,,ON,ALP+LNP,4,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated ,0.1734963375,,ON,LNP+IND,4,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated ,0.2230804276,,ON,ALP+LNP,4,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated ,0.1204397165,,OTH,ALP+ON,6,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated ,0.2231769621,,ON,ALP+IND,4,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated ,0.2188054747,,LNP,ALP+ON,2,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated ,0.2845752473,,ON,ALP+LNP,4,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated ,0.2155524098,,LNP,ALP+ON,2,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated ,0.2546008345,,ON,ALP+LNP,4,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated ,0.2994892173,,ALP,LNP+ON,1,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated ,0.1592188858,,GRN,ALP+ON,3,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated ,0.2495981895,,ON,ALP+LNP,4,,,,,,,,,,,,,SWING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Weights,0.2619312823,0.7380687176512499,0.0,0.0,0.0,0.0,,,,,,,,,,,,ELIMINATED,ONE NATION,,,0.2432615629,,,,,Weights,0,0.7416888665798824,0.0,0.0,0.2583111334201176,0.0,,,,,,,,,,,,ELIMINATED,ONE NATION,,,0.1847027751,,,,,Weights,0.2736094135,0.7263905864944811,0.0,0.0,0.0,0.0,,,,,,,,,,,,ELIMINATED,ONE NATION,,,0.2260745212,,,,,Weights,0.4546558704,0.0,0.0,0.5453441295546559,0.0,0.0,,,,,,,,,,,,ELIMINATED,OTHER,,,0.1224541819,,,,,Weights,0.2956469166,0.0,0.0,0.0,0.7043530834340992,0.0,,,,,,,,,,,,ELIMINATED,ONE NATION,,,0.2259119915,,,,,Weights,0.257,0.0,0.0,0.743,0.0,0.0,,,,,,,,,,,,ELIMINATED,LIBERAL,,,0.2206044777,,,,,Weights,0.2933486487,0.706651351308161,0.0,0.0,0.0,0.0,,,,,,,,,,,,ELIMINATED,ONE NATION,,,0.2869558206,,,,,Weights,0.257,0.0,0.0,0.743,0.0,0.0,,,,,,,,,,,,ELIMINATED,LIBERAL,,,0.2092566509,,,,,Weights,0.2703972841,0.7296027159277174,0.0,0.0,0.0,0.0,,,,,,,,,,,,ELIMINATED,ONE NATION,,,0.2598363758,,,,,Weights,0,0.5890990421549084,0.0,0.4109009578450917,0.0,0.0,,,,,,,,,,,,ELIMINATED,LABOR,,,0.2955401426,,,,,Weights,0.895,0.0,0.0,0.105,0.0,0.0,,,,,,,,,,,,ELIMINATED,GREENS,,,0.1582040859,,,,,Weights,0.2803556102,0.7196443897591736,0.0,0.0,0.0,0.0,,,,,,,,,,,,ELIMINATED,ONE NATION,,,0.252673692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.06258021917,0.176338243,,,,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,,0.1286803019,,,0.04481603559,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.06103690495,0.1620435226,,,,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.05475862412,,,0.06568109234,,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.06598158071,,,,0.1571953814,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.06214075481,,,0.1566647199,,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.08347976425,0.2010954831,,,,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.06121688437,,,0.1543355254,,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.06884337417,0.1857574603,,,,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,,0.1764288111,,0.1230604063,,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.1425009028,,,0.01671798301,,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.06997625272,0.1796219367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Round 5 (2CP),0.4463296965,0.5358166783989955,0.0,0.0,0.0,0.0,2.0,0.9821463749,,True,True,False,False,False,False,ALP,,2CP,0.4544431542,0.5455568458,,,,,,,Round 5 (2CP),0,0.41947157518771655,0.0,0.0,0.5198556085569878,0.0,2.0,0.9393271837,,False,True,False,False,True,False,LNP,,2CP,,0.4465659915,,,0.5534340085,,,,Round 5 (2CP),0.4251953059,0.5615608591625726,0.0,0.0,0.0,0.0,2.0,0.9867561651,,True,True,False,False,False,False,ALP,,2CP,0.4309021022,0.5690978978,,,,,,,Round 5 (2CP),0.632107144,0.0,0.0,0.3514420869061106,0.0,0.0,2.0,0.9835492309,,True,False,False,True,False,False,ON,,2CP,0.6426797197,,,0.3573202803,,,,,Round 5 (2CP),0.4307971073,0.0,0.0,0.0,0.5570962782900121,0.0,2.0,0.9878933855,,True,False,False,False,True,False,ALP,,2CP,0.4360765175,,,,0.5639234825,,,,Round 5 (2CP),0.5916407729,0.0,0.0,0.4002043473272853,0.0,0.0,2.0,0.9918451202,,True,False,False,True,False,False,ON,,2CP,0.5965052011,,,0.4034947989,,,,,Round 5 (2CP),0.4526379364,0.5390661062580354,0.0,0.0,0.0,0.0,2.0,0.9917040427,,True,True,False,False,False,False,ALP,,2CP,0.4564244139,0.5435755861,,,,,,,Round 5 (2CP),0.5855520863,0.0,0.0,0.4445342161729078,0.0,0.0,2.0,1.030086302,,True,False,False,True,False,False,ON,,2CP,0.5684495415,,,0.4315504585,,,,,Round 5 (2CP),0.4856053465,0.49424527540387914,0.0,0.0,0.0,0.0,2.0,0.9798506219,,True,True,False,False,False,False,ALP,,2CP,0.495591201,0.504408799,,,,,,,Round 5 (2CP),0,0.5508840918861657,0.0,0.46247813589769887,0.0,0.0,2.0,1.013362228,,False,True,False,True,False,False,ON,,2CP,,0.5436201161,,0.4563798839,,,,,Round 5 (2CP),0.5945959287,0.0,0.0,0.41181857025040686,0.0,0.0,2.0,1.006414499,,True,False,False,True,False,False,ON,,2CP,0.5908062029,,,0.4091937971,,,,,Round 5 (2CP),0.5406148784,0.4472132862489142,0.0,0.0,0.0,0.0,2.0,0.9878281646,,True,True,False,False,False,False,LNP,,2CP,0.5472762346,0.4527237654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Primary row,,,,3,,,,,,,,,,,,,SWING,-0.02921149066,0.02921149066,,,,,,,,Primary row,,,,3,,,,,,,,,,,,,SWING,,0.003174572904,,,-0.003174572904,,,,,Primary row,,,,3,,,,,,,,,,,,,SWING,-0.03101130956,0.03101130956,,,,,,,,Primary row,,,,3,,,,,,,,,,,,,SWING,-0.05564492748,-0.3016753529,,0.3573202803,,,,,,Primary row,,,,3,,,,,,,,,,,,,SWING,-0.03716370714,,,,0.03716370714,,,,,Primary row,,,,3,,,,,,,,,,,,,SWING,-0.04110854033,-0.3623862586,,0.4034947989,,,,,,Primary row,,,,3,,,,,,,,,,,,,SWING,-0.01574969409,0.01574969409,,,,,,,,Primary row,,,,3,,,,,,,,,,,,,SWING,-0.02174824052,-0.409802218,,0.4315504585,,,,,,Primary row,,,,3,,,,,,,,,,,,,SWING,-0.0349749519,0.0349749519,,,,,,,,Primary row,,,,3,,,,,,,,,,,,,SWING,-0.4194355917,-0.03694429223,,0.4563798839,,,,,,Primary row,,,,3,,,,,,,,,,,,,SWING,-0.06525135779,-0.3439424393,,0.4091937971,,,,,,Primary row,,,,3,,,,,,,,,,,,,SWING,-0.02046408086,0.02046408086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,19.0,,,,,,,,,,,,,,,,,RESULT,LIBERAL RETAIN,,,,,,,,,20.0,,,,,,,,,,,,,,,,,RESULT,INDEPENDENT RETAIN,,,,,,,,,21.0,,,,,,,,,,,,,,,,,RESULT,LIBERAL RETAIN,,,,,,,,,22.0,,,,,,,,,,,,,,,,,RESULT,LABOR RETAIN,,,,,,,,,23.0,,,,,,,,,,,,,,,,,RESULT,INDEPENDENT RETAIN,,,,,,,,,24.0,,,,,,,,,,,,,,,,,RESULT,LABOR RETAIN,,,,,,,,,25.0,,,,,,,,,,,,,,,,,RESULT,LIBERAL RETAIN,,,,,,,,,26.0,,,,,,,,,,,,,,,,,RESULT,LABOR RETAIN,,,,,,,,,27.0,,,,,,,,,,,,,,,,,RESULT,LIBERAL GAIN,,,,,,,,,28.0,,,,,,,,,,,,,,,,,RESULT,LIBERAL RETAIN,,,,,,,,,29.0,,,,,,,,,,,,,,,,,RESULT,LABOR RETAIN,,,,,,,,,30.0,,,,,,,,,,,,,,,,,RESULT,LABOR RETAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROVINCIAL,DOBELL (NSW),RAW,,,,,,,,,AliveMask,,,,,,,,"DOBELL
(NSW)",FULL DISTRIBUTION,,,,,,,,NEWCASTLE (NSW),RAW,,,,,,,,,AliveMask,,,,,,,,"NEWCASTLE
(NSW)",FULL DISTRIBUTION,,,,,,,,PATERSON (NSW),RAW,,,,,,,,,AliveMask,,,,,,,,"PATERSON
(NSW)",FULL DISTRIBUTION,,,,,,,,ROBERTSON (NSW),RAW,,,,,,,,,AliveMask,,,,,,,,"ROBERTSON
(NSW)",FULL DISTRIBUTION,,,,,,,,SHORTLAND (NSW),RAW,,,,,,,,,AliveMask,,,,,,,,SHORTLAND (NSW),FULL DISTRIBUTION,,,,,,,,MACQUARIE (NSW),RAW,,,,,,,,,AliveMask,,,,,,,,MACQUARIE (NSW),FULL DISTRIBUTION,,,,,,,,COWPER (NSW),RAW,,,,,,,,,AliveMask,,,,,,,,COWPER (NSW),FULL DISTRIBUTION,,,,,,,,CUNNINGHAM (NSW),RAW,,,,,,,,,AliveMask,,,,,,,,CUNNINGHAM (NSW),FULL DISTRIBUTION,,,,,,,,WHITLAM (NSW),RAW,,,,,,,,,AliveMask,,,,,,,,WHITLAM (NSW),FULL DISTRIBUTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Primary,0.3675870278,0.1798415172,0.1164921718,0.2650813925,0,0.08014964033,5,1.00915175,,True,True,True,True,False,True,IND,,ROUND 1,0.3642534713,0.1782105786,0.1154357329,0.2626774344,0,0.07942278291,,,Primary,0.3893127653,0.09079809497,0.234589669,0.2083880524,0,0.06285229296,5,0.9859408746,,True,True,True,True,False,True,IND,,ROUND 1,0.3948642108,0.09209283975,0.2379348245,0.2113595833,0,0.06374854171,,,Primary,0.3174645349,0.185267486,0.09375899323,0.2447715217,0.1182,0.07290330439,6,1.03236584,,True,True,True,True,True,False,OTH,,ROUND 1,0.3075116616,0.1794591402,0.09081954243,0.2370976568,0.1144942959,0.07061770309,,,Primary,0.3691121655,0.2149144629,0.1103251269,0.2396113345,0.0306,0.04461897933,5,1.009182069,,True,True,True,True,False,True,IND,,ROUND 1,0.3657537889,0.2129590581,0.1093213309,0.2374312246,0.03032158511,0.04421301239,,,Primary,0.3742789461,0.1615620121,0.1276773634,0.255411555,0.0417,0.05404004329,5,1.01466992,,True,True,True,True,False,True,IND,,ROUND 1,0.3688676867,0.1592261768,0.1258314264,0.2517188596,0.04109710871,0.05325874182,,,Primary,0.3636274908,0.2136582369,0.1349704389,0.2528331685,0,0.04095492685,5,1.006044262,,True,True,True,True,False,True,IND,,ROUND 1,0.3614428356,0.2123745892,0.1341595435,0.2513141599,0,0.04070887177,,,Primary,0.06285250615,0.2701911658,0.0641768216,0.2119607535,0.2877850954,0.09027649557,1,0.987242838,,False,True,True,True,True,True,ALP,,ROUND 1,0.06366468687,0.2736825788,0.06500611514,0.2146997125,0.2915038573,0.09144304936,,,Primary,0.3775394569,0.1224244562,0.2227114515,0.2531107078,0,0.03084510279,5,1.006631175,,True,True,True,True,False,True,IND,,ROUND 1,0.3750524186,0.121617986,0.2212443415,0.251443343,0,0.03064191091,,,Primary,0.3350612445,0.1737399466,0.1370922381,0.2401295231,0.0829,0.0527405979,6,1.02166355,,True,True,True,True,True,False,OTH,,ROUND 1,0.3279565415,0.1700559314,0.134185308,0.2350377705,0.08114217248,0.05162227613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Eliminated,0,,IND,ALP+LNP+GRN+ON+OTH,5,,,,,,,,,,,,,SWING,-0.06375855655,-0.09983093859,0.01249356108,0.1752727915,0,-0.02417685742,,,Eliminated,0,,IND,ALP+LNP+GRN+ON+OTH,5,,,,,,,,,,,,,SWING,-0.05822355454,-0.09853025522,0.01569515554,0.1578894264,-0.008202020948,-0.008628751258,,,Eliminated,0.07290330439,,OTH,ALP+LNP+GRN+ON+IND,6,,,,,,,,,,,,,SWING,-0.06312787329,-0.09285834585,0.0152105492,0.1611666883,0.01729429592,-0.01396060129,,,Eliminated,0.0306,,IND,ALP+LNP+GRN+ON+OTH,5,,,,,,,,,,,,,SWING,-0.08180837659,-0.0909054048,0.01944620398,0.1681251721,-0.002951627788,-0.01190596694,,,Eliminated,0.0417,,IND,ALP+LNP+GRN+ON+OTH,5,,,,,,,,,,,,,SWING,-0.07718625939,-0.1028358352,0.01245406306,0.1609485188,-0.003349185736,0.009968698528,,,Eliminated,0,,IND,ALP+LNP+GRN+ON+OTH,5,,,,,,,,,,,,,SWING,-0.06490965517,-0.1034086476,0.009589104578,0.1639252533,0,-0.005196055084,,,Eliminated,0.06285250615,,ALP,LNP+GRN+ON+IND+OTH,1,,,,,,,,,,,,,SWING,-0.05433781927,-0.105358587,0.02275429354,0.1510620831,-0.001996142689,-0.003883446203,,,Eliminated,0,,IND,ALP+LNP+GRN+ON+OTH,5,,,,,,,,,,,,,SWING,-0.0718620383,-0.1105814702,0.01700789001,0.1755388103,0,-0.01010319188,,,Eliminated,0.0527405979,,OTH,ALP+LNP+GRN+ON+IND,6,,,,,,,,,,,,,SWING,-0.05835470297,-0.1126840152,0.01006806986,0.1583884237,0.03314217248,0.007081678235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Weights,0.4437130834,0.28199178560491983,0.1315218729578452,0.07783155123263281,0.0,0.06494170683891011,,,,,,,,,,,,ELIMINATED,INDEPENDENT,,,0,,,,,Weights,0.1756756757,0.1036036036036036,0.18468468468468469,0.11373873873873874,0.0,0.4222972972972973,,,,,,,,,,,,ELIMINATED,INDEPENDENT,,,0,,,,,Weights,0.2023951079,0.14285714285714285,0.15797519959232206,0.2772209954136232,0.21955155427212503,0.0,,,,,,,,,,,,ELIMINATED,OTHER,,,0.07061770309,,,,,Weights,0.2413793103,0.11440791232290831,0.2579524191392676,0.17161186848436247,0.0,0.21464848970863407,,,,,,,,,,,,ELIMINATED,INDEPENDENT,,,0.03032158511,,,,,Weights,0.3224168986,0.12896675945636157,0.219976256754544,0.22364008514819061,0.0,0.10500000000000001,,,,,,,,,,,,ELIMINATED,INDEPENDENT,,,0.04109710871,,,,,Weights,0.4437130834,0.28199178560491983,0.1315218729578452,0.07783155123263281,0.0,0.06494170683891011,,,,,,,,,,,,ELIMINATED,INDEPENDENT,,,0,,,,,Weights,0,0.2621950384743718,0.12963831335977719,0.04680537387121276,0.4777307991490564,0.08363047514558189,,,,,,,,,,,,ELIMINATED,LABOR,,,0.06366468687,,,,,Weights,0.4437130834,0.28199178560491983,0.1315218729578452,0.07783155123263281,0.0,0.06494170683891011,,,,,,,,,,,,ELIMINATED,INDEPENDENT,,,0,,,,,Weights,0.1604032997,0.13183623586923315,0.10204705163458602,0.29835013748854267,0.30736327528261537,0.0,,,,,,,,,,,,ELIMINATED,OTHER,,,0.05162227613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,DISTRIBUTED,,,,,,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,,,,,,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.01475527215,0.01041475777,0.01151691406,0.02021032661,0.01600603379,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.007386206897,0.003500882117,0.007893344026,0.005251323176,,0.006568243785,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.01344478467,0.005377913869,0.009173009907,0.009325791551,,0.0043785,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,,,,,,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,,0.01647961527,0.008148092888,0.002941835049,0.03002657799,0.005256384953,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,,,,,,,,,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.008459765933,0.006953121905,0.005382022517,0.01573516463,0.01621052291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Round 2,0.3675870278,0.17984151720537192,0.11649217177332807,0.2650813924603611,0.0,0.08014964032602707,6,1.00915175,,True,True,True,True,False,True,OTH,,ROUND 2,0.3642534713,0.1782105786,0.1154357329,0.2626774344,,0.07942278291,,,Round 2,0.3893127653,0.09079809496979664,0.23458966896347885,0.20838805238239425,0.0,0.06285229296362664,6,0.9859408746,,True,True,True,True,False,True,OTH,,ROUND 2,0.3948642108,0.09209283975,0.2379348245,0.2113595833,,0.06374854171,,,Round 2,0.332219807,0.19568224378653434,0.10527590729067342,0.2649818482823658,0.13420603378956913,0.0,3,1.03236584,,True,True,True,True,True,False,GRN,,ROUND 2,0.3218043392,0.1895473835,0.1019753882,0.2566743667,0.1299985224,,,,Round 2,0.3764983724,0.21841534502474197,0.11821847091920902,0.2448626577064693,0.0,0.051187223117451656,6,1.009182069,,True,True,True,True,False,True,OTH,,ROUND 2,0.3730727922,0.2164280874,0.1171428571,0.2426347685,,0.05072149484,,,Round 2,0.3877237307,0.16693992593134238,0.13685037328402785,0.26473734658851084,0.0,0.0584185432900433,6,1.01466992,,True,True,True,True,False,True,OTH,,ROUND 2,0.382118089,0.1645263377,0.1348718146,0.2609098204,,0.05757393823,,,Round 2,0.3636274908,0.2136582368624949,0.13497043890433436,0.2528331685471109,0.0,0.040954926849277595,6,1.006044262,,True,True,True,True,False,True,OTH,,ROUND 2,0.3614428356,0.2123745892,0.1341595435,0.2513141599,,0.04070887177,,,Round 2,0,0.2866707810915875,0.07232491448693107,0.21490258851322203,0.3178116733641547,0.09553288052118906,3,0.987242838,,False,True,True,True,True,True,GRN,,ROUND 2,,0.2903751438,0.07325949777,0.217679562,0.321918439,0.09676735738,,,Round 2,0.3775394569,0.12242445615463224,0.22271145149557478,0.2531107078188752,0.0,0.030845102793702485,6,1.006631175,,True,True,True,True,False,True,OTH,,ROUND 2,0.3750524186,0.121617986,0.2212443415,0.251443343,,0.03064191091,,,Round 2,0.3435210104,0.18069306848148123,0.14247426061582924,0.2558646876921794,0.09911052291080508,0.0,5,1.02166355,,True,True,True,True,True,False,IND,,ROUND 2,0.3362369249,0.176861618,0.139453209,0.2504392837,0.09700896435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Eliminated,0.08014964033,,OTH,ALP+LNP+GRN+ON,6,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated,0.06285229296,,OTH,ALP+LNP+GRN+ON,6,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated,0.1052759073,,GRN,ALP+LNP+ON+IND,3,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated,0.05118722312,,OTH,ALP+LNP+GRN+ON,6,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated,0.05841854329,,OTH,ALP+LNP+GRN+ON,6,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated,0.04095492685,,OTH,ALP+LNP+GRN+ON,6,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated,0.07232491449,,GRN,LNP+ON+IND+OTH,3,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated,0.03084510279,,OTH,ALP+LNP+GRN+ON,6,,,,,,,,,,,,,SWING,,,,,,,,,Eliminated,0.09911052291,,IND,ALP+LNP+GRN+ON,5,,,,,,,,,,,,,SWING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
