Division,Classification,ALP primary,LNP primary,GRN primary,ON primary,IND primary,OTH primary
Kingston,OuterMetro,0.444176264,0.08833562371,0.1447134113,0.2150631148,0.0426992149,0.06501237128
Makin,OuterMetro,0.4141474318,0.1344758556,0.1394039105,0.2277572799,0,0.08421552219
Spence,OuterMetro,0.3762462492,0.08992067166,0.1527736965,0.2715026067,0.02159975158,0.08795702431
Barker,Rural,0.1588656992,0.3790097543,0.09678000293,0.2478510722,0.05777040144,0.05972306996
Grey,Rural,0.1600766094,0.2594976575,0.07841610924,0.2614221467,0.1635548287,0.07703264844
Mayo,Rural,0.1436853054,0.1323841695,0.1502459755,0.2172460231,0,0.3564385264
Clark,InnerMetro,0.1389204702,0.02983224945,0.1529782898,0.1873798474,0.4908891432,0
Franklin,OuterMetro,0.3084040173,0.0906709519,0.1332649294,0.1869121357,0.2516492368,0.02909872893
Bass,Provincial,0.3073451262,0.2216831619,0.1419439974,0.2241036558,0.05503746586,0.04783785035
Braddon,Rural,0.2912839801,0.2342757029,0.09774481695,0.2338195701,0.08350716822,0.05936876173
Lyons,Rural,0.3331812849,0.1756995236,0.1273666457,0.2289414981,0.02913570507,0.1056753426
Bean,InnerMetro,0.4025417395,0.1536995319,0.1444261951,0.046652147,0.2526803866,0
Canberra,InnerMetro,0.4755839684,0.09057294858,0.2621562829,0.04405684186,0.1114005341,0.0162294242
Fenner,InnerMetro,0.5341634473,0.1396805817,0.2105637244,0.04679079474,0,0.06880145186
Solomon,OuterMetro,0.2740120724,0.2144831792,0.1270850778,0.2232770419,0.1294728463,0.03166978245
Lingiari,Rural,0.351761677,0.1970238849,0.1166322008,0.2414189025,0.04472243548,0.04844089933
