Eliminated,AliveSet,Recipient,Votes,ScenarioTotal,Share,Seats,SeatObservations,BetweenSeatVariance,PoolingWeight,Source
ON,ALP+GRN+LNP,GRN,87246.55024458986,430498.0,0.1969701668312948,71,71,0.002154871667321217,EQUAL_SEAT,CATEGORY_PREF_FLOWS_LONG
ON,ALP+GRN+LNP,LNP,263660.30350278737,430498.0,0.6224664613716345,71,71,0.004283675605592664,EQUAL_SEAT,CATEGORY_PREF_FLOWS_LONG
ON,ALP+GRN+LNP+OTH,ALP,4994.159207624783,37332.0,0.1381280454524972,8,8,0.003155368742026578,EQUAL_SEAT,CATEGORY_PREF_FLOWS_LONG
ON,ALP+GRN+LNP+OTH,GRN,3163.563307003466,37332.0,0.08072844061221512,8,8,0.0010319968275781762,EQUAL_SEAT,CATEGORY_PREF_FLOWS_LONG
ON,ALP+GRN+LNP+OTH,LNP,17542.569666375854,37332.0,0.47231697248411214,8,8,0.013206034494179439,EQUAL_SEAT,CATEGORY_PREF_FLOWS_LONG
ON,ALP+GRN+LNP+OTH,OTH,11631.707818995896,37332.0,0.30882654145117555,8,8,0.02543957600435871,EQUAL_SEAT,CATEGORY_PREF_FLOWS_LONG
ON,ALP+IND+LNP,ALP,11208.79769148452,96595.0,0.11445944195452946,12,12,0.001992535878961047,EQUAL_SEAT,CATEGORY_PREF_FLOWS_LONG
ON,ALP+IND+LNP,IND,40251.55243365395,96595.0,0.4116884093572957,12,12,0.00715804117855581,EQUAL_SEAT,CATEGORY_PREF_FLOWS_LONG
ON,ALP+IND+LNP,LNP,45134.64987486153,96595.0,0.47385214868817466,12,12,0.008780771999532679,EQUAL_SEAT,CATEGORY_PREF_FLOWS_LONG
ON,ALP+LNP,ALP,78540.54373529545,281827.0,0.2862862372264332,25,25,0.006225577806918004,EQUAL_SEAT,CATEGORY_PREF_FLOWS_LONG
ON,ALP+LNP,LNP,203286.45626470455,281827.0,0.7137137627735668,25,25,0.006225577806918005,EQUAL_SEAT,CATEGORY_PREF_FLOWS_LONG
