3CP SD,2CP SD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3CP,,,,,,2CP,,,,,,ALP,,,LNP,,,GRN,,,ON,,,IND,,,OTH,,
Division,ALP,LNP,GRN,ON,IND,OTH,ALP,LNP,GRN,ON,IND,OTH,3CP Margin,3CP Prob,Win Prob,3CP Margin,3CP Prob,Win Prob,3CP Margin,3CP Prob,Win Prob,3CP Margin,3CP Prob,Win Prob,3CP Margin,3CP Prob,Win Prob,3CP Margin,3CP Prob,Win Prob
Richmond (NSW),0.3093030249,,0.3496226957,0.3410742795,,,,,0.6462146373,0.3537853627,,,-0.03177125463,0.0560795739,0,-0.3093030249,0,0,0.0403196708,0.9780991515,1,0.03177125463,,,-0.3093030249,,,-0.3093030249,,
Farrer (NSW),,0.3847495397,,0.2935643711,0.3216860892,,,0.5287718931,,,0.4712281069,,-0.2935643711,0,0,0.09118516853,0.9999974333,0.9248672988,-0.2935643711,0,0,0,,,0.02812171806,,,-0.2935643711,,
Riverina (NSW),,0.3587384708,,0.319879285,0.3213822442,,,0.6170662032,,,0.3829337968,,-0.319879285,0,0,0.03885918589,0.9739894616,0.9999999976,-0.319879285,0,0,0,,,0.001502959245,,,-0.319879285,,
Chisholm (VIC),0.3774905481,0.4193182373,0.2031912146,,,,0.5504571957,0.4495428043,,,,,0.1742993334,1,0.9941797598,0.2161270226,1,0.005820240208,0,0.5,0,-0.2031912146,,,-0.2031912146,,,-0.2031912146,,
Goldstein (VIC),,0.3536432763,,0.1664654484,0.4798912753,,,0.4836430718,,,0.5163569282,,-0.1664654484,0,0,0.1871778278,1,0.2067224471,-0.1664654484,0,0,0,,,0.3134258269,,,-0.1664654484,,
Hotham (VIC),0.4556545005,,0.1983888796,0.3459566199,,,0.6332125478,,,0.3667874522,,,0.2572656209,1,1,-0.1983888796,0,0,0,0.5,0,0.1475677403,,,-0.1983888796,,,-0.1983888796,,
Kooyong (VIC),,0.4490519054,0.143731158,,0.4072169366,,,0.4632819034,,,0.5367180966,,-0.143731158,0,0,0.3053207474,1,0.0331858667,0,0.5,0,-0.143731158,,,0.2634857786,,,-0.143731158,,
Macnamara (VIC),0.334897601,0.3399914031,0.3251109959,,,,0.633622953,0.366377047,,,,,0.009786605113,0.6876960479,1,0.01488040726,0.771567922,0,0,0.5,0,-0.3251109959,,,-0.3251109959,,,-0.3251109959,,
Cooper (VIC),0.3949644385,,0.3549318783,0.2501036833,,,0.5838182401,,0.4161817599,,,,0.1448607552,1,0.9999861082,-0.2501036833,0,0,0.104828195,0.9999999203,1.389177026e-05,0,,,-0.2501036833,,,-0.2501036833,,
Melbourne (VIC),0.3205471385,,0.4813136805,0.198139181,,,0.4793498645,,0.5206501355,,,,0.1224079575,0.9999999995,0.1509173873,-0.198139181,0,0,0.2831744995,1,0.8490826127,0,,,-0.198139181,,,-0.198139181,,
Wills (VIC),0.3356704669,,0.4449366375,0.2193928956,,,0.4678215567,,0.5321784433,,,,0.1162775714,0.9999999969,0.05381668127,-0.2193928956,0,0,0.2255437419,1,0.9461833187,0,,,-0.2193928956,,,-0.2193928956,,
Fraser (VIC),0.4176475415,,0.3459618343,0.2363906242,,,0.5330195128,,0.4669804872,,,,0.1812569173,1,0.9506282255,-0.2363906242,0,0,0.1095712101,0.9999999786,0.04937177455,0,,,-0.2363906242,,,-0.2363906242,,
Gellibrand (VIC),0.4322981145,,0.209745957,0.3579559285,,,0.620020746,,,0.379979254,,,0.2225521575,1,0.999999999,-0.209745957,0,0,0,0.5,0,0.1482099715,,,-0.209745957,,,-0.209745957,,
Maribyrnong (VIC),0.3893150984,,0.2384383856,0.3722465161,,,0.6027174535,,,0.3972825465,,,0.1508767128,1,0.9999998596,-0.2384383856,0,0,0,0.5,0,0.1338081305,,,-0.2384383856,,,-0.2384383856,,
Aston (VIC),0.4445295424,0.3278217949,,0.2276486627,,,0.5065747047,0.4934252953,,,,,0.2168808797,1,0.6288220897,0.1001731322,0.9999997259,0.3711779103,-0.2276486627,0,0,0,,,-0.2276486627,,,-0.2276486627,,
