Division,State,ALP_primary,LNP_primary,GRN_primary,ON_primary,IND_primary,OTH_primary,ALP_3CP,LNP_3CP,GRN_3CP,ON_3CP,IND_3CP,OTH_3CP,ALP_2CP,LNP_2CP,GRN_2CP,ON_2CP,IND_2CP,OTH_2CP,ALP_2PP,LNP_2PP,GRN_2PP,ON_2PP,IND_2PP,OTH_2PP
Hindmarsh,SA,48.14%,23.10%,13.56%,4.97%,1.59%,8.64%,,,,,,,66.35%,33.65%,,,,,66.35%,33.65%,,,,
Port Adelaide,SA,,,,,,,,,,,,,,,,,,,,,,,,
Sturt,SA,35.29%,34.34%,15.62%,3.44%,7.18%,4.13%,,,,,,,56.62%,43.38%,,,,,56.62%,43.38%,,,,
Boothby,SA,42.62%,32.48%,17.08%,3.03%,0.00%,4.77%,,,,,,,61.10%,38.90%,,,,,61.10%,38.90%,,,,
Kingston,SA,53.03%,18.63%,13.44%,6.23%,0.00%,8.67%,,,,,,,70.74%,29.26%,,,,,70.74%,29.26%,,,,
Makin,SA,47.82%,22.49%,12.37%,6.74%,0.00%,10.58%,,,,,,,64.66%,35.34%,,,,,64.66%,35.34%,,,,
Spence,SA,44.33%,18.69%,14.49%,9.55%,2.46%,10.48%,,,,,,,65.34%,34.66%,,,,,65.34%,34.66%,,,,
Barker,SA,22.49%,50.00%,8.16%,8.19%,5.86%,5.30%,,,,,,,36.98%,63.02%,,,,,36.98%,63.02%,,,,
Grey,SA,22.50%,37.96%,5.92%,9.97%,17.54%,6.11%,,,,,,,45.36%,54.64%,,,,,45.36%,54.64%,,,,
Mayo,SA,21.34%,23.61%,13.62%,5.99%,0.00%,35.45%,,,,,,,,35.11%,,,,64.89%,54.98%,45.02%,,,,
Clark,TAS,20.05%,13.68%,13.19%,4.20%,48.88%,0.00%,,,,,,,29.62%,,,,70.38%,,70.89%,29.11%,,,,
Franklin,TAS,39.03%,18.84%,10.48%,4.96%,26.69%,0.00%,,,,,,,57.78%,,,,42.22%,,69.44%,30.56%,,,,
Bass,TAS,39.63%,31.44%,12.89%,6.48%,5.38%,4.17%,,,,,,,58.01%,41.99%,,,,,58.01%,41.99%,,,,
Braddon,TAS,39.52%,31.67%,8.44%,7.63%,8.25%,4.49%,,,,,,,57.20%,42.80%,,,,,57.20%,42.80%,,,,
Lyons,TAS,43.08%,26.21%,10.88%,6.72%,3.20%,9.90%,,,,,,,61.58%,38.42%,,,,,61.58%,38.42%,,,,
Bean,ACT,41.05%,23.04%,9.50%,0.00%,26.41%,0.00%,,,,,,,50.34%,,,,49.66%,,69.29%,30.71%,,,,
Canberra,ACT,48.32%,18.31%,19.81%,0.00%,10.91%,2.66%,,,,,,,69.52%,,30.48%,,,,76.42%,23.58%,,,,
Fenner,ACT,53.80%,21.94%,16.40%,0.00%,0.00%,7.86%,,,,,,,72.08%,27.92%,,,,,72.08%,27.92%,,,,
Solomon,NT,32.85%,35.99%,10.26%,6.71%,13.63%,0.57%,,,,,,,51.31%,48.69%,,,,,51.31%,48.69%,,,,
Lingiari,NT,44.64%,30.99%,10.18%,9.06%,0.00%,5.13%,,,,,,,58.13%,41.87%,,,,,58.13%,41.87%,,,,
