State,DivisionID,Electorate,EliminatedModelCategory,FinishPosition,CategoryExitCount,AliveModelCategoriesAfter,CandidateCount,InternalCandidateExclusions,CategoryPrimaryVotes,LastSurvivorCandidateID,LastSurvivorCandidate,LastSurvivorSubtype,LastSurvivorIdeologyFamily,LastSurvivorPrimaryVotes,LastSurvivorPrimaryCoverage,DefaultEvidenceMultiplier,CategorySubtypeMix,CategoryIdeologyMix,Method,VoteBasis,EvidenceVotes,RecipientModelCategory,AllocatedVotes,Share,IsApproximation
NSW,103,Banks,GRN,3,6,ALP>LNP,1,0,11756,41486,Natalie Hanna,GRN,,11756,1.0,1.0,GRN:11756,UNSPECIFIED:11756,PROPORTIONAL_PRIMARY_ORIGIN_PASS_THROUGH,ALL_CATEGORY_PRIMARY_VOTES_TRACED_PROPORTIONALLY,11756,LNP,1689.1020800000001,0.14368,True
NSW,103,Banks,ON,4,5,ALP>LNP>GRN,1,0,3666,41858,Todd Nicol,ON,,3666,1.0,1.0,ON:3666,UNSPECIFIED:3666,OBSERVED_LAST_SURVIVOR_EXIT,LAST_SURVIVOR_TALLY_AT_CATEGORY_EXIT,7989,ALP,1122.0,0.14044310927525347,False
NSW,103,Banks,ON,4,5,ALP>LNP>GRN,1,0,3666,41858,Todd Nicol,ON,,3666,1.0,1.0,ON:3666,UNSPECIFIED:3666,OBSERVED_LAST_SURVIVOR_EXIT,LAST_SURVIVOR_TALLY_AT_CATEGORY_EXIT,7989,GRN,2313.0,0.2895230942546001,False
NSW,103,Banks,ON,4,5,ALP>LNP>GRN,1,0,3666,41858,Todd Nicol,ON,,3666,1.0,1.0,ON:3666,UNSPECIFIED:3666,OBSERVED_LAST_SURVIVOR_EXIT,LAST_SURVIVOR_TALLY_AT_CATEGORY_EXIT,7989,LNP,4554.0,0.5700337964701464,False
NSW,103,Banks,ON,4,5,ALP>LNP>GRN,1,0,3666,41858,Todd Nicol,ON,,3666,1.0,1.0,ON:3666,UNSPECIFIED:3666,PROPORTIONAL_PRIMARY_ORIGIN_PASS_THROUGH,ALL_CATEGORY_PRIMARY_VOTES_TRACED_PROPORTIONALLY,3666,ALP,514.8644386030792,0.14044310927525347,True
NSW,103,Banks,ON,4,5,ALP>LNP>GRN,1,0,3666,41858,Todd Nicol,ON,,3666,1.0,1.0,ON:3666,UNSPECIFIED:3666,PROPORTIONAL_PRIMARY_ORIGIN_PASS_THROUGH,ALL_CATEGORY_PRIMARY_VOTES_TRACED_PROPORTIONALLY,3666,GRN,1061.391663537364,0.2895230942546001,True
NSW,103,Banks,ON,4,5,ALP>LNP>GRN,1,0,3666,41858,Todd Nicol,ON,,3666,1.0,1.0,ON:3666,UNSPECIFIED:3666,PROPORTIONAL_PRIMARY_ORIGIN_PASS_THROUGH,ALL_CATEGORY_PRIMARY_VOTES_TRACED_PROPORTIONALLY,3666,LNP,2089.743897859557,0.5700337964701464,True
NSW,103,Banks,OTH,5,4,ALP>LNP>GRN>ON,4,3,8791,41763,Allan Taruste,OTH_CYA,RIGHT,3430,0.39017176657945624,0.39017176657945624,OTH_CYA:3430|OTH_LTP:2678|IND_MINOR:1995|OTH_AUD:688,RIGHT:6108|CENTRE_LEFT:2683,OBSERVED_LAST_SURVIVOR_EXIT,LAST_SURVIVOR_TALLY_AT_CATEGORY_EXIT,4093,ALP,368.0,0.0899096017591009,False
NSW,103,Banks,OTH,5,4,ALP>LNP>GRN>ON,4,3,8791,41763,Allan Taruste,OTH_CYA,RIGHT,3430,0.39017176657945624,0.39017176657945624,OTH_CYA:3430|OTH_LTP:2678|IND_MINOR:1995|OTH_AUD:688,RIGHT:6108|CENTRE_LEFT:2683,OBSERVED_LAST_SURVIVOR_EXIT,LAST_SURVIVOR_TALLY_AT_CATEGORY_EXIT,4093,GRN,351.0,0.08575616906914243,False
NSW,103,Banks,OTH,5,4,ALP>LNP>GRN>ON,4,3,8791,41763,Allan Taruste,OTH_CYA,RIGHT,3430,0.39017176657945624,0.39017176657945624,OTH_CYA:3430|OTH_LTP:2678|IND_MINOR:1995|OTH_AUD:688,RIGHT:6108|CENTRE_LEFT:2683,OBSERVED_LAST_SURVIVOR_EXIT,LAST_SURVIVOR_TALLY_AT_CATEGORY_EXIT,4093,LNP,684.0,0.16711458587832886,False
NSW,103,Banks,OTH,5,4,ALP>LNP>GRN>ON,4,3,8791,41763,Allan Taruste,OTH_CYA,RIGHT,3430,0.39017176657945624,0.39017176657945624,OTH_CYA:3430|OTH_LTP:2678|IND_MINOR:1995|OTH_AUD:688,RIGHT:6108|CENTRE_LEFT:2683,OBSERVED_LAST_SURVIVOR_EXIT,LAST_SURVIVOR_TALLY_AT_CATEGORY_EXIT,4093,ON,2690.0,0.6572196432934279,False
NSW,103,Banks,OTH,5,4,ALP>LNP>GRN>ON,4,3,8791,41763,Allan Taruste,OTH_CYA,RIGHT,3430,0.39017176657945624,0.39017176657945624,OTH_CYA:3430|OTH_LTP:2678|IND_MINOR:1995|OTH_AUD:688,RIGHT:6108|CENTRE_LEFT:2683,PROPORTIONAL_PRIMARY_ORIGIN_PASS_THROUGH,ALL_CATEGORY_PRIMARY_VOTES_TRACED_PROPORTIONALLY,8791,ALP,1289.0,0.14662723239676942,True
