State,DivisionID,Electorate,CountNumber,EliminatedCandidateID,EliminatedCandidate,EliminatedModelCategory,EliminatedCandidateSubtype,EliminatedIdeologyFamily,EliminatedTally,InternalCategoryExclusion,CategoryExitThisCount,RecipientCandidateID,RecipientCandidate,RecipientModelCategory,RecipientCandidateSubtype,RecipientIdeologyFamily,TransferVotes,TransferShare,SameCategoryTransfer,AliveModelCategoriesAfter
VIC,320,Cooper,3,41002,Kath Larkin,OTH,OTH_VNS,LEFT,11104,False,True,40856,Ged Kearney,ALP,ALP,,1480,0.13328530259365995,False,ALP>LNP>GRN
VIC,320,Cooper,3,41002,Kath Larkin,OTH,OTH_VNS,LEFT,11104,False,True,41089,Tara Burnett,GRN,GRN,,8656,0.7795389048991355,False,ALP>LNP>GRN
VIC,320,Cooper,4,40767,Stewart Todhunter,LNP,LIB,,21006,False,True,40856,Ged Kearney,ALP,ALP,,15111,0.7193658954584404,False,ALP>GRN
VIC,320,Cooper,4,40767,Stewart Todhunter,LNP,LIB,,21006,False,True,41089,Tara Burnett,GRN,GRN,,5895,0.28063410454155957,False,ALP>GRN
VIC,328,Corangamite,1,41911,Paul Barker,OTH,OTH_LTP,RIGHT,1272,True,False,40773,Darcy Dunstan,LNP,LIB,,179,0.14072327044025157,False,ALP>LNP>GRN>ON>OTH
VIC,328,Corangamite,1,41911,Paul Barker,OTH,OTH_LTP,RIGHT,1272,True,False,40877,Libby Coker,ALP,ALP,,52,0.040880503144654086,False,ALP>LNP>GRN>ON>OTH
VIC,328,Corangamite,1,41911,Paul Barker,OTH,OTH_LTP,RIGHT,1272,True,False,41088,Mitch Pope,GRN,GRN,,52,0.040880503144654086,False,ALP>LNP>GRN>ON>OTH
VIC,328,Corangamite,1,41911,Paul Barker,OTH,OTH_LTP,RIGHT,1272,True,False,41191,Kate Lockhart,OTH,IND_MINOR,LEFT,112,0.0880503144654088,True,ALP>LNP>GRN>ON>OTH
VIC,328,Corangamite,1,41911,Paul Barker,OTH,OTH_LTP,RIGHT,1272,True,False,41224,Harley Mackenzie,OTH,OTH_HMP,CENTRE_LEFT,61,0.0479559748427673,True,ALP>LNP>GRN>ON>OTH
VIC,328,Corangamite,1,41911,Paul Barker,OTH,OTH_LTP,RIGHT,1272,True,False,41380,James Jackson,OTH,OTH_CYA,RIGHT,170,0.13364779874213836,True,ALP>LNP>GRN>ON>OTH
VIC,328,Corangamite,1,41911,Paul Barker,OTH,OTH_LTP,RIGHT,1272,True,False,41510,Colin Seabrook,ON,ON,,646,0.5078616352201258,False,ALP>LNP>GRN>ON>OTH
VIC,328,Corangamite,2,41380,James Jackson,OTH,OTH_CYA,RIGHT,2622,True,False,40773,Darcy Dunstan,LNP,LIB,,486,0.1853546910755149,False,ALP>LNP>GRN>ON>OTH
VIC,328,Corangamite,2,41380,James Jackson,OTH,OTH_CYA,RIGHT,2622,True,False,40877,Libby Coker,ALP,ALP,,228,0.08695652173913043,False,ALP>LNP>GRN>ON>OTH
