State,DivisionID,Electorate,ModelCategory,CandidateCount,PrimaryVotes,FinishPosition,CategoryExitCount,LastSurvivingCandidateID,LastSurvivingCandidate,LastSurvivingSubtype,LastSurvivingIdeologyFamily,InternalCandidateExclusions,PrimaryShare
NSW,135,New England,LNP,1,59711,1,,41945,Barnaby Joyce,NAT,,0,0.5221957917198677
NSW,135,New England,ALP,1,23233,2,,41423,Laura Hughes,ALP,,0,0.20318157172091722
NSW,135,New England,ON,1,11387,3,5,41894,Brent Larkham,ON,,0,0.09958371958791737
NSW,135,New England,GRN,1,9023,4,4,41622,Wendy Wales,GRN,,0,0.07890962517272139
NSW,135,New England,OTH,3,10992,5,3,33409,Natasha Ledger,IND_MINOR,CENTRE,2,0.09612929179857625
NSW,136,Newcastle,ALP,1,49054,1,,41422,Sharon Claydon,ALP,,0,0.45308776531875194
NSW,136,Newcastle,GRN,1,24061,2,,41620,Charlotte Mccabe,GRN,,0,0.22223966896347883
NSW,136,Newcastle,LNP,1,20638,3,6,41488,Asarri Mcphee,LIB,,0,0.19062309496979662
NSW,136,Newcastle,ON,1,5789,4,5,41893,Phillip Heyne,ON,,0,0.053470156835941106
NSW,136,Newcastle,OTH,4,8724,5,4,41695,Jennifer Stefanac,OTH_CYA,RIGHT,3,0.08057931391203148
NSW,138,Page,LNP,1,48049,1,,41949,Kevin Hogan,NAT,,0,0.4465769466698887
NSW,138,Page,ALP,1,23711,2,,41431,Wendy Backhous,ALP,,0,0.22037474208598992
NSW,138,Page,GRN,1,16265,3,9,41623,Luke Robinson,GRN,,0,0.15117013959886239
NSW,138,Page,ON,1,6132,4,8,41896,Peter Nottle,ON,,0,0.05699202557763444
NSW,138,Page,OTH,7,13437,5,7,41692,Donna Lee Pike,OTH_CYA,RIGHT,6,0.12488614606762459
NSW,139,Parkes,LNP,1,41912,1,,41950,Jamie Chaffey,NAT,,0,0.39959194180403673
NSW,139,Parkes,ALP,1,20630,2,,41429,Nathan Fell,ALP,,0,0.1966878640822981
NSW,139,Parkes,ON,1,14320,3,8,41914,Mark Carter,ON,,0,0.1365278823877125
