State,DivisionID,Electorate,CountNumber,CandidateID,BallotPosition,CandidateName,OfficialPartyCode,OfficialPartyName,ModelCategory,CandidateSubtype,IdeologyFamily,PrimaryVotes,PreferenceCountBefore,TransferCount,PreferenceCountAfter,IsExcludedThisCount,InternalCategoryExclusion,CategoryExitThisCount,SameCategoryCandidatesAliveAfter,IsContinuingBefore,IsContinuingAfter,AliveCandidateCountBefore,AliveCandidateCountAfter,AliveCategoryCountBefore,AliveCategoryCountAfter,AliveCandidateIDsBefore,AliveCandidateIDsAfter,AliveModelCategoriesBefore,AliveModelCategoriesAfter,FinishPosition,CategoryExitCount,LastSurvivingCandidateID,AEC_Elected,AEC_HistoricElected
ACT,101,Canberra,4,41077,4,Will Roche,LP,Liberal,LNP,LIB,,17101,20325,-20325,0,True,False,True,0,True,False,3,2,3,2,40677>41077>41390,40677>41390,ALP>LNP>GRN,ALP>GRN,3,4,41077,N,N
ACT,101,Canberra,4,40677,5,Alicia Payne,ALP,Australian Labor Party,ALP,ALP,,45133,50036,14900,64936,False,False,False,0,True,True,3,2,3,2,40677>41077>41390,40677>41390,ALP>LNP>GRN,ALP>GRN,1,,40677,Y,Y
ACT,101,Canberra,4,41706,6,Teresa Mctaggart,AJP,AJP,OTH,OTH_AJP,CENTRE_LEFT,1258,0,0,0,False,False,False,0,False,False,3,2,3,2,40677>41077>41390,40677>41390,ALP>LNP>GRN,ALP>GRN,5,2,41706,N,N
ACT,102,Fenner,0,41079,1,Bola Olatunbosun,LP,Liberal,LNP,LIB,,20723,20723,0,20723,False,False,False,0,True,True,4,4,4,4,40678>41079>41398>41713,40678>41079>41398>41713,ALP>LNP>GRN>OTH,ALP>LNP>GRN>OTH,2,,41079,N,N
ACT,102,Fenner,0,41713,2,Elizabeth Kikkert,FFPA,Family First,OTH,OTH_FFPA,RIGHT,7426,7426,0,7426,False,False,False,0,True,True,4,4,4,4,40678>41079>41398>41713,40678>41079>41398>41713,ALP>LNP>GRN>OTH,ALP>LNP>GRN>OTH,4,1,41713,N,N
ACT,102,Fenner,0,40678,3,Andrew Leigh,ALP,Australian Labor Party,ALP,ALP,,50819,50819,0,50819,False,False,False,0,True,True,4,4,4,4,40678>41079>41398>41713,40678>41079>41398>41713,ALP>LNP>GRN>OTH,ALP>LNP>GRN>OTH,1,,40678,Y,Y
ACT,102,Fenner,0,41398,4,Dani Hunterford,GRN,Australian Greens,GRN,GRN,,15492,15492,0,15492,False,False,False,0,True,True,4,4,4,4,40678>41079>41398>41713,40678>41079>41398>41713,ALP>LNP>GRN>OTH,ALP>LNP>GRN>OTH,3,2,41398,N,N
ACT,102,Fenner,1,41079,1,Bola Olatunbosun,LP,Liberal,LNP,LIB,,20723,20723,3837,24560,False,False,False,0,True,True,4,3,4,3,40678>41079>41398>41713,40678>41079>41398,ALP>LNP>GRN>OTH,ALP>LNP>GRN,2,,41079,N,N
ACT,102,Fenner,1,41713,2,Elizabeth Kikkert,FFPA,Family First,OTH,OTH_FFPA,RIGHT,7426,7426,-7426,0,True,False,True,0,True,False,4,3,4,3,40678>41079>41398>41713,40678>41079>41398,ALP>LNP>GRN>OTH,ALP>LNP>GRN,4,1,41713,N,N
ACT,102,Fenner,1,40678,3,Andrew Leigh,ALP,Australian Labor Party,ALP,ALP,,50819,50819,2206,53025,False,False,False,0,True,True,4,3,4,3,40678>41079>41398>41713,40678>41079>41398,ALP>LNP>GRN>OTH,ALP>LNP>GRN,1,,40678,Y,Y
