,,,,,,,,ELECTION CALCULATOR,,,,,,,,,,
,GRN v ALP CONTESTS,,,,,,,,,,,,,,IND v LNP CONTESTS,,,
,GRN,ALP,,,,,,ALP (78),,,LNP (57),,,,IND,LNP,,
,,,,,,,Gellibrand (VIC),0.6638,0.3362,-0.0488,ALP RETAIN,,,,,,,
,,,,,,,Maribyrnong (VIC),0.6658,0.3342,-0.0358,ALP RETAIN,,,,,,,
,,,,,,,McPherson (QLD),0.4408,0.5592,-0.0338,LNP RETAIN,,,,,,,
,,,,,,,Fairfax (QLD),0.4398,0.5602,-0.0298,LNP RETAIN,,,,,,,
,,,,,,,Lalor (VIC),0.6678,0.3322,-0.0398,ALP RETAIN,,,,,,,
,,,,,,,Page (NSW),0.4368,0.5632,-0.0438,LNP RETAIN,,,,,,,
,,,,,,,Ballarat (VIC),0.6658,0.3342,-0.0358,ALP RETAIN,,,,,,,
,,,,,,,Blaxland (NSW),0.6658,0.3342,-0.0348,ALP RETAIN,,,,,,,
,,,,,,,Spence (SA),0.6728,0.3272,-0.0438,ALP RETAIN,,,,,,,
,,,,,,,Grey (SA),0.4318,0.5682,-0.0328,LNP RETAIN,,,,,,,
,,,,,,,Chifley (NSW),0.6748,0.3252,-0.0388,ALP RETAIN,,,,,,,
,,,,,,,Franklin (TAS),0.6748,0.3252,-0.0378,ALP RETAIN,,,,,,,
,,,,,,,Herbert (QLD),0.4308,0.5692,-0.0488,LNP RETAIN,,,,,,,
,,,,,,,Hinkler (QLD),0.4298,0.5702,-0.0308,LNP RETAIN,,,,,,,
,,,,,,,Berowra (NSW),0.4278,0.5722,-0.0258,LNP RETAIN,,,,,,,
,,,,,,,Dawson (QLD),0.4258,0.5742,-0.0298,LNP RETAIN,,,,,,,
,,,,,,,Fadden (QLD),0.4258,0.5742,-0.0318,LNP RETAIN,,,,,,,
,,,,,,,Calwell (VIC),0.6808,0.3192,-0.0568,ALP RETAIN,,,,,,,
,,,,,,,Wright (QLD),0.4228,0.5772,-0.0318,LNP RETAIN,,,,,,,
,,,,,,,Wide Bay (QLD),0.4228,0.5772,-0.0338,LNP RETAIN,,,,,,,
,,,,,,,Fremantle (WA),0.6828,0.3172,-0.0158,ALP RETAIN,,,,,,,
,,,,,,,Fenner (ACT),0.6848,0.3152,-0.0278,ALP RETAIN,,,,,,,
,,,,,,,Moncrieff (QLD),0.4208,0.5792,-0.0328,LNP RETAIN,,,,,,,
,,,,,,,Brand (WA),0.6868,0.3132,-0.0158,ALP RETAIN,,,,,,,
,,,,,,,Watson (NSW),0.6878,0.3122,-0.0368,ALP RETAIN,,,,,,,
,,,,,,,Cunningham (NSW),0.6898,0.3102,-0.0388,ALP RETAIN,,,,,,,
,,,,,,,Kingston (SA),0.6938,0.3062,-0.0298,ALP RETAIN,,,,,,,
,,,,,,,Cook (NSW),0.4088,0.5912,-0.0258,LNP RETAIN,,,,,,,
,,,,,,,Lyne (NSW),0.3998,0.6002,-0.0378,LNP RETAIN,,,,,,,
,,,,,,,Scullin (VIC),0.7098,0.2902,-0.0568,ALP RETAIN,,,,,,,
,,,,,,,Fraser (VIC),0.7108,0.2892,-0.0448,ALP RETAIN,,,,,,,
,,,,,,,Newcastle (VIC),0.7108,0.2892,-0.0308,ALP RETAIN,,,,,,,
,,,,,,,Riverina (NSW),0.3808,0.6192,-0.0288,LNP RETAIN,,,,,,,
,,,,,,,New England (NSW),0.3728,0.6272,-0.0378,LNP RETAIN,,,,,,,
,,,,,,,Barker (SA),0.3688,0.6312,-0.0348,LNP RETAIN,,,,,,,
,,,,,,,Farrer (NSW),0.3678,0.6322,-0.0318,LNP RETAIN,,,,,,,
,,,,,,,Parkes (NSW),0.3648,0.6352,-0.0428,LNP RETAIN,,,,,,,
,,,,,,,Mallee (VIC),0.3578,0.6422,-0.0478,LNP RETAIN,,,,,,,
,,,,,,,Canberra (ACT),0.7528,0.2472,-0.0278,ALP RETAIN,,,,,,,
,,,,,,,Gippsland (VIC),0.3448,0.6552,-0.0508,LNP RETAIN,,,,,,,
,,,,,,,Maranoa (QLD),0.3198,0.6802,0.0592,LNP RETAIN,,,,,,,
,,,,,,,Cooper (VIC),0.7978,0.2022,-0.0428,ALP RETAIN,,,,,,,
,,,,,,,Wills (VIC),0.7988,0.2012,-0.0408,ALP RETAIN,,,,,,,
