Election,Seat,Geography,Eliminated,AliveSet,Recipient,PrefVotes,PrefShare,SourceBank,Notes,,,,ALP ,,,,,LNP,,,,,GRN,,,,,ON,,,,,IND,,,,,OTH,,,,
,,,,,,,,,,,141,Spence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,142,Barker*(**),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,143,Grey**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,144,Mayo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,145,Clark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,146,Franklin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,147,Bass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,148,Braddon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,149,Lyons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,150,Bean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,151,Canberra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,152,Fenner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,153,Solomon*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,154,Lingiari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
