ADELAIDE (SA),RAW,,,,,,,,ADELAIDE (SA),HELPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ALP,LNP,GRN,ON,IND,OTH,PrefRow,,,ALP,LNP,GRN,ON,IND,OTH,,,ALP,LNP,GRN,ON,IND,OTH,,,ALP,LNP,GRN,ON,IND,OTH,ALP,LNP,GRN,ON,IND,OTH,ALP,LNP,GRN,ON,IND,OTH
ALP,0.0,0,0,0,0,0,,,ALP,0,0,0,0,0,0,,ALP,0,0.5089782591,0.1844450166,0.3065767242,0,0,1,,0.5351076271,0.19090211758884715,0.14336071948660262,0.13062953580240858,0.0,0.0,0.5351076271,0.6998803767020867,0.32780573612489644,0.43720626005087526,0.0,0.0,0,0.34994018835104335,0.16390286806244822,0.21860313002543763,0.0,0.0
LNP,0,0.0,0,0,0,0,,,LNP,0,0,0,0,0,0,,LNP,0.5889414425,0,0.1544080357,0.2566505218,0,0,1,,0.19702247336321005,0.4595719839953149,0.16284980442231045,0.18055573821916454,0.0,0.0,0.7859639158741303,0.4595719839953149,0.3172578400796796,0.4372062600508752,0.0,0.0,0.39298195793706514,0.0,0.1586289200398398,0.2186031300254376,0.0,0.0
GRN,0.8808952113,0.1191047887,0.0,0,0,0,,,GRN,0.8808952113,0.1191047887,0,0,0,0,,GRN,0.8808952113,0.1191047887,0,0,0,0,1,,0.07014574604091918,0.448356511131148,0.1808674683667018,0.30063027446123103,0.0,0.0,0.9510409573850953,0.5674612997869719,0.1808674683667018,0.30063027446123103,0.0,0.0,0.47552047869254765,0.28373064989348595,0.0,0.15031513723061551,0.0,0.0
ON,0.2376974484,0.5510328068,0.2112697448,0.0,0,0,,,ON,0.2376974484,0.5510328068,0.2112697448,0,0,0,,ON,0.2376974484,0.5510328068,0.2112697448,0,0,0,1,,0.5106325626381178,0.14614607176981637,0.12892600309900745,0.21429536249305842,0.0,0.0,0.7483300109977776,0.6971788785741906,0.3401957479349734,0.21429536249305842,0.0,0.0,0.3741650054988888,0.3485894392870953,0.1700978739674867,0.0,0.0,0.0
IND,0,0,0,0,0.0,0,,,IND,0,0,0,0,0,0,,IND,0.4129761047,0.2987824003,0.1082736321,0.1799678629,0,0,1,,0.31412096368667075,0.32225996350843045,0.16032755248797803,0.20329152031692074,0.0,0.0,0.7270970683704288,0.6210423638043638,0.26860118462665833,0.383259383198549,0.0,0.0,0.3635485341852144,0.3105211819021819,0.13430059231332916,0.1916296915992745,0.0,0.0
OTH,0.1203356543,0.2262096054,0.1135511516,0.5399035886,0,0.0,,,OTH,0.1203356543,0.2262096054,0.1135511516,0.5399035886,0,0,,OTH,0.1203356543,0.2262096054,0.1135511516,0.5399035886,0,0,1,,0.36158458238097535,0.372277307624327,0.1711891859982249,0.09494892399647276,0.0,0.0,0.48192023672841333,0.5984869130519292,0.2847403375782999,0.6348525126413576,0.0,0.0,0.24096011836420667,0.2992434565259646,0.14237016878914996,0.3174262563206788,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KINGSTON
(SA)",RAW,,,,,,,,"KINGSTON
(SA)",HELPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ALP,LNP,GRN,ON,IND,OTH,PrefRow,,,ALP,LNP,GRN,ON,IND,OTH,,,ALP,LNP,GRN,ON,IND,OTH,,,ALP,LNP,GRN,ON,IND,OTH,ALP,LNP,GRN,ON,IND,OTH,ALP,LNP,GRN,ON,IND,OTH
Index,1,2,3,4,5,6,139.0,,Index,1,2,3,4,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
