,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Party 1,,,,,,Party 2,,,,,,Party 3,,,,,,3CP Estimate,,,,,,,,Rescaled 3CP Estimate,,
,3CP,,,2CP,,Parties,,,To ALP,To LNP,To GRN,To ON,To IND,To OTH,To ALP,To LNP,To GRN,To ON,To IND,To OTH,To ALP,To LNP,To GRN,To ON,To IND,To OTH,To ALP,To LNP,To GRN,To ON,To IND,To OTH,Parties,Total,To ALP,To LNP,To GRN
Brand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Durack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O'Connor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forrest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adelaide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hindmarsh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Port Adelaide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sturt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boothby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kingston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Makin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mayo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Franklin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Braddon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lyons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canberra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fenner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solomon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lingiari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New South Wales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Victoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Queensland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tasmania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Territory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
