,,,,,,,,
,,,,,,,,
Division,2022 Margin,2022 Aus 2PP,2022 Lean,2025 Margin,2025 2PP,2025 Aus 2PP,2025 Lean,New PVI
New South Wales,0.0142,,-0.0071,0.0527,,,-0.0001,-0.00185
Victoria,0.0483,,0.027,0.063,,,0.0102,0.0144
Queensland,-0.0405,,-0.0618,-0.0058,,,-0.0586,-0.0594
Western Australia,0.05,,0.0287,0.0584,,,0.0056,0.011375
South Australia,0.0397,,0.0184,0.0919,,,0.0391,0.033925
Tasmania,0.0433,,0.022,0.1334,,,0.0806,0.06595
ACT,0.1695,,0.1482,0.2249,,,0.1721,0.166125
Northern Territory,0.0554,,0.0341,0.0425,,,-0.0103,0.0008
,,,,,,,,
Grayndler,0.2662550821623767,,0.2449550821623767,0.3017550821623767,0.8017550821623767,,0.24895508216237672,0.24795508216237672
Sydney,0.25657184868856586,,0.23527184868856588,0.28077184868856586,0.7807718486885659,,0.2279718486885659,0.2297968486885659
Watson,0.15158970953956108,,0.1302897095395611,0.22858970953956104,0.728589709539561,,0.17578970953956108,0.16441470953956108
Newcastle,0.17942307834407856,,0.15812307834407857,0.20792307834407853,0.7079230783440785,,0.15512307834407857,0.15587307834407857
Blaxland,0.13043413668485138,,0.10913413668485139,0.2190341366848514,0.7190341366848514,,0.16623413668485143,0.15195913668485142
Chifley,0.1365246471469792,,0.11522464714697922,0.19832464714697917,0.6983246471469792,,0.1455246471469792,0.13794964714697922
Cunningham,0.15071693195004943,,0.12941693195004944,0.1752169319500494,0.6752169319500494,,0.12241693195004943,0.12416693195004944
Kingsford Smith,0.13307184763749347,,0.11177184763749348,0.1718718476374934,0.6718718476374934,,0.11907184763749346,0.11724684763749346
Fowler,0.05896317760227243,,0.037663177602272446,0.18186317760227244,0.6818631776022724,,0.12906317760227248,0.10621317760227247
Barton,0.11993341637402322,,0.09863341637402323,0.16003341637402324,0.6600334163740232,,0.10723341637402328,0.10508341637402327
Macarthur,0.09755756072528221,,0.07625756072528223,0.1560575607252822,0.6560575607252822,,0.10325756072528225,0.09650756072528224
Greenway,0.079413741423775,,0.05811374142377501,0.13761374142377503,0.637613741423775,,0.08481374142377507,0.07813874142377505
Parramatta,0.03717587200329242,,0.015875872003292435,0.12547587200329247,0.6254758720032925,,0.07267587200329251,0.05847587200329249
Reid,0.051873703034075236,,0.03057370303407525,0.12007370303407527,0.6200737030340753,,0.06727370303407532,0.0580987030340753
Shortland,0.05997011507011507,,0.038670115070115085,0.11507011507011511,0.6150701150701151,,0.06227011507011515,0.056370115070115134
Richmond,0.08233620702797462,,0.06103620702797463,0.10003620702797467,0.6000362070279747,,0.04723620702797471,0.05068620702797469
McMahon,0.104797781979864,,0.08349778197986402,0.09019778197986406,0.5901977819798641,,0.0373977819798641,0.04892278197986408
Dobell,0.06558389105359341,,0.04428389105359343,0.09428389105359336,0.5942838910535934,,0.0414838910535934,0.04218389105359341
