INNER METRO,CLARK (TAS),RAW,,,,,,,,,AliveMask,,,,,,,,"CLARK
(TAS)",FULL DISTRIBUTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TAS,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Eliminated ,0.2712912919,,LNP,ALP+ON,2,,,,,,,,,,,,,SWING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Weights,0.408,0.0,0.0,0.592,0.0,0.0,,,,,,,,,,,,ELIMINATED,LIBERAL,,,0.2705984145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,DISTRIBUTED,0.07704672689,,,0.194244565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Round 5 (2CP),0.5291698545,0.0,0.0,0.4713366945074008,0.0,0.0,2.0,1.000506549,,True,False,False,True,False,False,ON,,2CP,0.5278183558,,,0.4701329016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Primary row,,,,4,,,,,,,,,,,,,SWING,-0.0522861222,-0.419895522,,0.4701329016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,147.0,,,,,,,,,,,,,,,,,RESULT,LABOR RETAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RURAL,BRADDON (TAS),RAW,,,,,,,,,AliveMask,,,,,,,,"BRADDON
(TAS)",FULL DISTRIBUTION,,,,,,,,LYONS (TAS),RAW,,,,,,,,,AliveMask,,,,,,,,"LYONS
(TAS)",FULL DISTRIBUTION,,,,,
,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH,,,,ALP,LNP,GRN,ON,IND,OTH,Parties left,,,,,,,,,,,,ALP,LNP,GRN,ON,IND,OTH
,Primary,0.2920298236,0.2348755746,0.09799509621,0.2344182739,0.08372099145,0.05952077766,6,1.002560537,,True,True,True,True,True,False,OTH,,ROUND 1,0.2912839801,0.2342757029,0.09774481695,0.2338195701,0.08350716822,0.05936876173,,,Primary,0.3350600791,0.1766902853,0.1280848605,0.2302324889,0.0293,0.1062712411,5,1.005638955,,True,True,True,True,False,True,IND,,ROUND 1,0.3331812849,0.1756995236,0.1273666457,0.2289414981,0.02913570507,0.1056753426
,Eliminated,0.05952077766,,OTH,ALP+LNP+GRN+ON+IND,6,,,,,,,,,,,,,SWING,-0.1039458435,-0.08239987169,0.01332472074,0.1575368336,0.001011176775,0.01447298407,,,Eliminated,0.0293,,IND,ALP+LNP+GRN+ON+OTH,5,,,,,,,,,,,,,SWING,-0.09762879427,-0.08636576171,0.01853178522,0.1617169042,-0.002908234955,0.006654101499
,Weights,0.1071428571,0.1488095238095238,0.15119047619047618,0.40327380952380953,0.18958333333333333,0.0,,,,,,,,,,,,ELIMINATED,OTHER,,,0.05936876173,,,,,Weights,0.2223968566,0.10726915520628684,0.262475442043222,0.13320235756385068,0.0,0.27465618860510804,,,,,,,,,,,,ELIMINATED,INDEPENDENT,,,0.02913570507,,
