16,,,,,,,,ON,,,,,,,,,,,,,,,,,,,,,STATUS
,,,Exclusion,,,,,,,Exclusion,,,,,,,Exclusion,,,,,,,Exclusion,,,,,
Division,,,ALP Prefs,,LNP Prefs,,SUM,,,ALP Prefs,,LNP Prefs,,SUM,,,ALP Prefs,,LNP Prefs,,SUM,,,ALP Prefs,,LNP Prefs,,SUM,
,Votes,%,Votes,%,Votes,%,,Votes at elim,%,Votes,%,Votes,%,,Votes at elim,%,Votes,%,Votes,%,,Votes at elim,%,Votes,%,Votes,%,,
Griffith,,,,#DIV/0!,,#DIV/0!,#DIV/0!,5120.0,,,0,,0,0,,0.0,,#DIV/0!,,#DIV/0!,#DIV/0!,#REF!,,,#REF!,,#REF!,#REF!,
Moreton,22326.0,,,0,,0,0,5632.0,,,0,,0,0,,0.0,,#DIV/0!,,#DIV/0!,#DIV/0!,#REF!,,,#REF!,,#REF!,#REF!,
Bonner,15165.0,,,0,,0,0,7077.0,,,0,,0,0,,0.0,,#DIV/0!,,#DIV/0!,#DIV/0!,#REF!,4.0,,#REF!,,#REF!,#REF!,
Bowman,17004.0,,,0,,0,0,12418.0,,,0,,0,0,4044.0,1.0,,0,,0,#REF!,#REF!,2.0,,#REF!,,#REF!,#REF!,
Dickson,9672.0,,,0,,0,0,6686.0,,,0,,0,0,21495.0,1.0,,0,,0,#REF!,#REF!,4.0,,#REF!,,#REF!,#REF!,
Petrie,17660.0,,,0,,0,0,12340.0,,,0,,0,0,,0.0,,#DIV/0!,,#DIV/0!,#DIV/0!,#REF!,2.0,,#REF!,,#REF!,#REF!,
Fadden,13355.0,,,0,,0,0,18503.0,,,0,,0,0,3428.0,1.0,,0,,0,#REF!,#REF!,4.0,,#REF!,,#REF!,#REF!,
Forde,14860.0,,,0,,0,0,19912.0,,,0,,0,0,3377.0,1.0,,0,,0,#REF!,#REF!,3.0,,#REF!,,#REF!,#REF!,
Oxley,17399.0,,,0,,0,0,9022.0,,,0,,0,0,1435.0,1.0,,0,,0,#REF!,#REF!,2.0,,#REF!,,#REF!,#REF!,
Rankin,15334.0,,,0,,0,0,11059.0,,,0,,0,0,,0.0,,#DIV/0!,,#DIV/0!,#DIV/0!,#REF!,5.0,,#REF!,,#REF!,#REF!,
Ryan,,,,#DIV/0!,,#DIV/0!,#DIV/0!,5265.0,,,0,,0,0,,0.0,,#DIV/0!,,#DIV/0!,#DIV/0!,#REF!,3.0,,#REF!,,#REF!,#REF!,
Blair,16043.0,,,0,,0,0,22755.0,,,0,,0,0,,0.0,,#DIV/0!,,#DIV/0!,#DIV/0!,#REF!,6.0,,#REF!,,#REF!,#REF!,
Capricornia,6513.0,,,0,,0,0,22302.0,,,0,,0,0,,0.0,,#DIV/0!,,#DIV/0!,#DIV/0!,#REF!,2.0,,#REF!,,#REF!,#REF!,
