,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ALP,,,,,,,LNP,,,,,,,GRN,,,,,,,ON,,,,,,,IND,,,,,,,OTH,,,,,,
Division,Primary,Primary PVI,2nd Round,3rd Round,3CP,2CP,2PP,Primary,Primary PVI,2nd Round,3rd Round,3CP,2CP,2PP,Primary,Primary PVI,2nd Round,3rd Round,3CP,2CP,2PP,Primary,Primary PVI,2nd Round,3rd Round,3CP,2CP,2PP,Primary,Primary PVI,2nd Round,3rd Round,3CP,2CP,2PP,Primary,Primary PVI,2nd Round,3rd Round,3CP,2CP,2PP
New England,0.2031815717,-0.1383934283,,,,0.3294037395,0.3294037395,0.5221957917,0.1906957917,,,,0.6705962605,0.6705962605,0.07890962517,-0.04416537483,,,,,,0.09958371959,0.03803371959,,,,,,0.03708044007,-0.03369455993,,,,,,0.05904885173,-0.01167614827,,,,,
Page,0.2203747421,-0.1289252579,,,,0.4071416622,0.4071416622,0.4465769467,0.1206269467,,,,0.5928583378,0.5928583378,0.1511701396,0.0123201396,,,,,,0.05699202558,-0.01515797442,,,,,,0.021,-0.0384,,,,,,0.09058125918,0.05395625918,,,,,
Parkes,0.1966878641,-0.1443121359,,,,0.3703032788,0.3703032788,0.3995919418,0.0942419418,,,,0.6296967212,0.6296967212,0.06105618427,-0.06449381573,,,,,,0.1365278824,0.07535288239,,,,,,0.02475997979,-0.04409002021,,,,,,0.1813761477,0.08410114766,,,,,
Richmond,0.3039579998,-0.04069200015,,,,0.600036207,0.600036207,0.2457790228,-0.08519597721,,,,0.399963793,0.399963793,0.2647210153,0.1395960153,,,,,,0.05439629545,-0.02082870455,,,,,,0.0167,-0.0467,,,,,,0.1051242473,0.05614924727,,,,,
Farrer,0.1508882916,-0.1800117084,,,,,0.3711419229,0.4341325209,0.1283575209,,,,0.5619475466,0.6288580771,0.04933875397,-0.06233624603,,,,,,0.06600816976,0.00220816976,,,,,,0.1995575522,0.1269,,,,0.4380524534,,0.1000747116,0.03067471158,,,,,
Riverina,0.1843022761,-0.1400977239,,,,0.3737917741,0.3737917741,0.4032427223,0.0605177223,,,,0.6262082259,0.6262082259,0.04504095921,-0.07148404079,,,,,,0.09851942137,0.03744442137,,,,,,0.1133,0.0928,,,,,,0.103357049,0.05800704905,,,,,
Chisholm,0.3873621254,0.03676212542,,,,0.5570088648,0.5570088648,0.3724011252,0.04940112518,,,,0.4429911352,0.4429911352,0.124994454,0.006769453959,,,,,,0.01913162308,-0.04364337692,,,,,,0.05931158102,-0.0134,,,,,,0.03679909134,-0.02522590866,,,,,
Goldstein,0.1366178797,-0.2041321203,,,,,0.4603,0.4352614698,0.09761146983,,,,0.5007564427,0.5397,0.07187502702,-0.04714997298,,,,,,0.01760998677,-0.04356501323,,,,,,0.3075566468,0.2412316468,,,,0.4992435573,,0.03107898991,-0.04319601009,,,,,
Hotham,0.4884616471,0.1334616471,,,,0.6685936485,0.6685936485,0.2574686238,-0.06340637622,,,,0.3314063515,0.3314063515,0.1485721818,0.02592218179,,,,,,0.04669007918,-0.01943492082,,,,,,0,,,,,,,0.05880746815,-0.007992531847,,,,,
Kooyong,0.1190159054,-0.2230590946,,,,,0.4762812644,0.4312988064,0.1040738064,,,,0.4933357709,0.5237187356,0.07748091271,-0.03939408729,,,,,,0.01045557036,-0.05124442964,,,,,,0.3391313432,0.2635563432,,,,0.5066729348,,0.02261746193,-0.05313253807,,,,,
Macnamara,0.3610596185,0.00928461849,,,,0.6179513245,0.6179513245,0.3249616297,-0.01138837031,,,,0.3820486755,0.3820486755,0.2547489486,0.1430989486,,,,,,0.02793557775,-0.03596442225,,,,,,0.01834798381,-0.04925201619,,,,,,0.0129462417,-0.0549787583,,,,,
Cooper,0.4196549737,0.0758049737,,,,0.5971594817,0.7853159333,0.1513208038,-0.1738541962,,,,,0.2146840667,0.2521052925,0.1379802925,,,,0.4028405183,,0.05283215288,-0.01351784712,,,,,,0,,,,,,,0.1240867771,0.04213677709,,,,,
Melbourne,0.3134081767,-0.04144182333,,,,0.5301596749,0.7397073311,0.1977157048,-0.1307842952,,,,,0.2602926689,0.3946412446,0.2855912446,,,,0.4698403251,,0.02501847139,-0.03953152861,,,,,,0.04945201543,-0.0232,,,,,,0.01976438716,-0.04236061284,,,,,
Wills,0.3558812545,0.0173062545,,,,0.5142875361,0.8086098687,0.1286288156,-0.1909461844,,,,,0.1913901313,0.3537406291,0.2252656291,,,,0.4857124639,,0.03499694847,-0.02802805153,,,,,,0,,,,,,,0.1267523524,0.04495235241,,,,,
