BRISBANE (QLD),RAW,,,,,,,,BRISBANE (QLD),HELPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OTH,0.144384338,0.2179289026,0.122488408,0.5151983514,0,0.0,,,OTH,0.144384338,0.2179289026,0.122488408,0.5151983514,0,0,,OTH,0.144384338,0.2179289026,0.122488408,0.5151983514,0,0,1,,0.2845100527431637,0.4177118140935382,0.17983444439534052,0.09781668012247341,0.0,0.02012700864548409,0.42889439071328217,0.6356407167210498,0.3023228524324348,0.6130150314877489,0.0,0.02012700864548409,0.2144471953566411,0.31782035836052497,0.15116142621621742,0.3065075157438745,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DICKSON (QLD),RAW,,,,,,,,DICKSON (QLD),HELPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ALP,LNP,GRN,ON,IND,OTH,PrefRow,,,ALP,LNP,GRN,ON,IND,OTH,,,ALP,LNP,GRN,ON,IND,OTH,,,ALP,LNP,GRN,ON,IND,OTH,ALP,LNP,GRN,ON,IND,OTH,ALP,LNP,GRN,ON,IND,OTH
Index,1,2,3,4,5,6,95.0,,Index,1,2,3,4,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALP,0.0,0,0,0,0,0,,,ALP,0,0,0,0,0,0,,ALP,0,0.3734921113,0.08576270366,0.1141765864,0.4265685986,0,1,,0.5721900316,0.15942099782849434,0.03225332906912397,0.033777034812277264,0.2023586066606966,0.0,0.5721900316,0.532913109148387,0.11801603272987737,0.14795362119451796,0.6289272052978094,0.0,0,0.2664565545741936,0.059008016364938715,0.07397681059725901,0.3144636026489049,0.0
LNP,0,0.0,0,0,0,0,,,LNP,0,0,0,0,0,0,,LNP,0.5037625032,0,0.06792998166,0.09043573824,0.3378717769,0,1,,0.3041851697891525,0.31442375631839414,0.048655066657100246,0.0575178829592128,0.2752181242761398,0.0,0.8079476729581847,0.31442375631839414,0.11658504831420058,0.14795362119451794,0.6130899012147017,0.0,0.4039738364790925,0.0,0.05829252415710032,0.073976810597259,0.306544950607351,0.0
GRN,0.5312241522,0.04342431762,0.0,0,0.4253515302,0,,,GRN,0.5312241522,0.04342431762,0,0,0.4253515302,0,,GRN,0.5312241522,0.04342431762,0,0,0.4253515302,0,1,,0.34927452256463604,0.2963605807534576,0.04850903264112212,0.06458047052220646,0.24127539351857755,0.0,0.8804986747565302,0.33978489837132364,0.04850903264112212,0.06458047052220646,0.6666269237088174,0.0,0.4402493373782653,0.1698924491856619,0.0,0.032290235261103244,0.33331346185440885,0.0
ON,0.08884235716,0.5032904577,0.06027520191,0.0,0.3475919832,0,,,ON,0.08884235716,0.5032904577,0.06027520191,0,0.3475919832,0,,ON,0.08884235716,0.5032904577,0.06027520191,0,0.3475919832,0,1,,0.5531048803125906,0.11584493581381425,0.0418078723079016,0.055659161153582534,0.2335831504121108,0.0,0.6419472374768144,0.6191353934865633,0.1020830742223497,0.055659161153582534,0.5811751336606898,0.0,0.32097361873840735,0.3095676967432818,0.05104153711117487,0.0,0.29058756683034503,0.0
IND,0.769713887,0.230286113,0,0,0.0,0,,,IND,0.769713887,0.230286113,0,0,0,0,,IND,0.769713887,0.230286113,0,0,0,0,1,,0.11600950875490622,0.28748206474936605,0.08165607542543903,0.10870939874198339,0.406142952328305,0.0,0.8857233957053599,0.5177681777989125,0.08165607542543903,0.10870939874198339,0.406142952328305,0.0,0.44286169785268015,0.25888408889945635,0.040828037712719534,0.054354699370991716,0.0,0.0
OTH,0.1652442795,0.1361781076,0.1494124923,0.2791589363,0.2700061843,0.0,,,OTH,0.1652442795,0.1361781076,0.1494124923,0.2791589363,0.2700061843,0,,OTH,0.1652442795,0.1361781076,0.1494124923,0.2791589363,0.2700061843,0,1,,0.3806015964340638,0.27088227386027375,0.04024873378059905,0.031182395448824313,0.277085000476239,0.0,0.5458458759640576,0.4070603814669528,0.18966122605023417,0.31034133175061773,0.5470911847681377,0.0,0.27292293798202893,0.20353019073347647,0.09483061302511712,0.15517066587530892,0.27354559238406895,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PETRIE (QLD),RAW,,,,,,,,PETRIE (QLD),HELPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
