division,division_key,state,classification,review_priority,priority_reason,override_review_candidate,candidate_k_to_test,winner_changed,final_two_changed,elimination_order_changed,current_winner,unshrunk_winner,actual_winner,current_final_two,unshrunk_final_two,actual_final_two,current_matches_actual_winner,unshrunk_matches_actual_winner,current_matches_actual_final_two,unshrunk_matches_actual_final_two,winner_pct_change_pp,final_distribution_change_pp,seat_flow_scenarios,encountered_scenarios,max_flow_total_variation_pp,max_recipient_shift_pp,max_estimated_round_effect_pp,most_distinctive_scenario,position_conflicts,current_elimination_order,unshrunk_elimination_order
Wentworth,WENTWORTH,NSW,Inner metro,Medium,Material local-flow or elimination-path difference.,False,,False,False,False,IND,IND,IND,IND+LNP,IND+LNP,IND+LNP,True,True,True,True,0.0,0.0,4,0,12.228633737603218,9.363837353531409,0.0,OTH|ALP+GRN+IND+LNP+ON,0,ALP>ON>GRN,ALP>ON>GRN
Fowler,FOWLER,NSW,Outer metro,Medium,Material local-flow or elimination-path difference.,False,,False,False,False,IND,IND,IND,ALP+IND,ALP+IND,ALP+IND,True,True,True,True,0.0,0.0,4,0,11.776713068903632,11.776713068903632,0.0,OTH|ALP+GRN+IND+LNP,1,LNP>OTH>GRN>ON,LNP>OTH>GRN>ON
McMahon,MCMAHON,NSW,Outer metro,Medium,Material local-flow or elimination-path difference.,False,,False,False,False,ALP,ALP,ALP,ALP+ON,ALP+ON,ALP+ON,True,True,True,True,0.0,0.0,3,0,11.381620102383138,11.381620102383144,0.0,IND|ALP+LNP,0,OTH>IND>GRN>LNP,OTH>IND>GRN>LNP
Cooper,COOPER,VIC,Inner metro,Medium,Material local-flow or elimination-path difference.,False,,False,False,False,ALP,ALP,ALP,ALP+GRN,ALP+GRN,ALP+GRN,True,True,True,True,0.0,0.0,3,0,11.358853666904443,11.358853666904444,0.0,OTH|ALP+GRN+LNP,1,LNP>OTH>ON,LNP>OTH>ON
Mayo,MAYO,SA,Rural,Medium,Material local-flow or elimination-path difference.,False,,False,False,False,OTH,OTH,OTH,ALP+OTH,ALP+OTH,ALP+OTH,True,True,True,True,0.0,0.0,3,0,11.17581102600875,11.175811026008752,0.0,GRN|ALP+LNP+OTH,0,LNP>GRN>ON,LNP>GRN>ON
Wills,WILLS,VIC,Inner metro,Medium,Material local-flow or elimination-path difference.,False,,False,False,False,GRN,GRN,GRN,ALP+GRN,ALP+GRN,ALP+GRN,True,True,True,True,0.0,0.0,3,0,10.859314856099328,10.859314856099333,0.0,OTH|ALP+GRN+LNP,0,LNP>OTH>ON,LNP>OTH>ON
Indi,INDI,VIC,Rural,Medium,Material local-flow or elimination-path difference.,False,,False,False,False,IND,IND,IND,IND+ON,IND+ON,IND+ON,True,True,True,True,0.0,0.0,4,0,10.63598360440673,9.65604985089447,0.0,GRN|ALP+IND+LNP+ON,0,ALP>GRN>OTH>LNP,ALP>GRN>OTH>LNP
Clark,CLARK,TAS,Inner metro,Medium,Material local-flow or elimination-path difference.,False,,False,False,False,IND,IND,IND,GRN+IND,GRN+IND,GRN+IND,True,True,True,True,0.0,0.0,3,0,10.182082769337404,10.182082769337397,0.0,GRN|ALP+IND+LNP,0,LNP>ALP>ON,LNP>ALP>ON
McEwen,MCEWEN,VIC,Rural,Low,Shrinkage has limited effect on the reconstructed result.,False,,False,False,False,ON,ON,ALP,ALP+ON,ALP+ON,ALP+ON,False,False,True,True,0.5259040894699196,0.5259040894699196,3,1,7.5336190818011985,7.425441522678261,0.8225338583232106,OTH|ALP+GRN+LNP+ON,0,OTH>GRN>LNP,OTH>GRN>LNP
Dunkley,DUNKLEY,VIC,Outer metro,Low,Shrinkage has limited effect on the reconstructed result.,False,,False,False,False,ALP,ALP,ALP,ALP+ON,ALP+ON,ALP+ON,True,True,True,True,0.5303106422572257,0.5303106422572257,4,2,8.821826066731202,7.01766090569188,0.8090266280587717,OTH|ALP+GRN+LNP+ON,0,IND>OTH>GRN>LNP,IND>OTH>GRN>LNP
