division,round,eliminated,alive_after,basis,reliability,reliability_reason,pooled_evidence_seats,pooled_mean_variance,class_evidence_seats,nearest_distance,position_conflict,coverage,anchor_weight
Hunter,2,GRN,ALP+ON+OTH,posterior_nearest_field,Medium,"Nearest-field evidence at distance 1, based on 6 seats.",6,0.0,0,1.0,False,0.8576486609,0.0
Hunter,3,OTH,ALP+ON,posterior_nearest_field,Low,"Nearest-field evidence at distance 1, based on 3 seats.",3,0.0,0,1.0,False,0.6521238562652124,0.0
Lyne,1,GRN,ALP+IND+LNP+ON+OTH,matrix_posterior_explicit_blend,Medium,Exact pooled scenario based on 3 seats.,3,0.010850330498686365,2,nan,False,1.0,0.0
Lyne,2,OTH,ALP+IND+LNP+ON,matrix_posterior_explicit_blend,Low,Exact pooled scenario based on 1 seats.,1,0.0,16,nan,False,0.8671122995,0.0
Lyne,3,ALP,IND+LNP+ON,posterior_shrunk,Low,Exact pooled scenario based on 1 seats.,1,0.0,1,nan,False,0.0,0.0
Lyne,4,ON,IND+LNP,matrix_posterior_explicit_blend,Low,Exact pooled scenario based on 1 seats.,1,0.0,1,nan,False,0.8855949065,0.0
New England,1,IND,ALP+GRN+LNP+ON+OTH,matrix_posterior_explicit_blend,High,Exact pooled scenario based on 26 seats.,26,0.005372962514514995,7,nan,False,1.0,0.0
New England,2,OTH,ALP+GRN+LNP+ON,matrix_posterior_explicit_blend,High,Exact pooled scenario based on 73 seats.,73,0.00802382233899586,16,nan,False,0.8407879147031843,0.0
New England,3,GRN,ALP+LNP+ON,seat_pref_flow_shrunk,Medium,Seat-specific historical flow from one election.,21,0.003235015131739608,11,nan,False,1.0,0.0
New England,4,ALP,LNP+ON,posterior_shrunk,Low,Exact pooled scenario based on 1 seats.,1,0.0,1,nan,False,0.0,0.0
Page,1,IND,ALP+GRN+LNP+ON+OTH,seat_pref_flow_shrunk,Medium,Seat-specific historical flow from one election.,26,0.005372962514514995,7,nan,False,1.0,0.0
Page,2,OTH,ALP+GRN+LNP+ON,seat_pref_flow_shrunk,Medium,Seat-specific historical flow from one election.,73,0.00802382233899586,16,nan,False,1.0,0.0
Page,3,GRN,ALP+LNP+ON,matrix_posterior_explicit_blend,High,Exact pooled scenario based on 21 seats.,21,0.003235015131739608,11,nan,False,1.0,0.0
Page,4,ON,ALP+LNP,matrix_posterior_explicit_blend,High,Exact pooled scenario based on 25 seats.,25,0.006225577806918004,14,nan,False,0.8047160412000001,0.0
Parkes,1,IND,ALP+GRN+LNP+ON+OTH,seat_pref_flow_shrunk,Medium,Seat-specific historical flow from one election.,26,0.005372962514514995,7,nan,False,1.0,0.0
Parkes,2,GRN,ALP+LNP+ON+OTH,seat_pref_flow_shrunk,Medium,Seat-specific historical flow from one election.,6,0.001240946632856196,5,nan,False,1.0,0.0
Parkes,3,OTH,ALP+LNP+ON,matrix_posterior_explicit_blend,Medium,Exact pooled scenario based on 3 seats.,3,0.002202329789376214,2,nan,False,0.9251131221722466,0.0
Parkes,4,ALP,LNP+ON,posterior_shrunk,Low,Exact pooled scenario based on 1 seats.,1,0.0,1,nan,False,0.0,0.0
Richmond,1,OTH,ALP+GRN+LNP+ON,seat_pref_flow_shrunk,Medium,Seat-specific historical flow from one election.,73,0.00802382233899586,16,nan,False,1.0,0.0
Richmond,2,LNP,ALP+GRN+ON,posterior_nearest_field,Low,"Nearest-field evidence at distance 1, based on 1 seats.",1,0.0,0,1.0,False,0.0,0.0
Richmond,3,ON,ALP+GRN,posterior_nearest_field,Medium,"Nearest-field evidence at distance 1, based on 70 seats.",70,0.0,0,1.0,False,0.24260560322426056,0.0
Farrer,1,GRN,ALP+IND+LNP+ON+OTH,matrix_posterior_explicit_blend,Medium,Exact pooled scenario based on 3 seats.,3,0.010850330498686365,2,nan,False,1.0,0.0
Farrer,2,OTH,ALP+IND+LNP+ON,matrix_posterior_explicit_blend,Low,Exact pooled scenario based on 1 seats.,1,0.0,16,nan,False,0.9357184409544996,0.0
Farrer,3,ALP,IND+LNP+ON,matrix_posterior_explicit_blend,Low,Exact pooled scenario based on 1 seats.,1,0.0,1,nan,False,1.0,0.0
Farrer,4,ON,IND+LNP,matrix_posterior_explicit_blend,Low,Exact pooled scenario based on 1 seats.,1,0.0,1,nan,False,0.9194813510459741,0.0
Riverina,1,GRN,ALP+IND+LNP+ON+OTH,seat_pref_flow_shrunk,Medium,Seat-specific historical flow from one election.,3,0.010850330498686365,2,nan,False,1.0,0.0
Riverina,2,OTH,ALP+IND+LNP+ON,matrix_posterior_explicit_blend,Low,Exact pooled scenario based on 1 seats.,1,0.0,16,nan,False,0.9482900401525856,0.0
Riverina,3,ALP,IND+LNP+ON,posterior_shrunk,Low,Exact pooled scenario based on 1 seats.,1,0.0,1,nan,False,0.0,0.0
Riverina,4,IND,LNP+ON,posterior_nearest_field,Low,"Nearest-field evidence at distance 1, based on 1 seats.",1,0.0,0,1.0,False,0.5393575459460642,0.0
Chisholm,1,OTH,ALP+GRN+IND+LNP+ON,seat_pref_flow_shrunk,Medium,Seat-specific historical flow from one election.,55,0.007226873927393435,17,nan,False,1.0,0.0
Chisholm,2,IND,ALP+GRN+LNP+ON,matrix_posterior_explicit_blend,High,Exact pooled scenario based on 16 seats.,16,0.00456985146000111,4,nan,False,1.0,0.0
Chisholm,3,ON,ALP+GRN+LNP,matrix_posterior_explicit_blend,High,Exact pooled scenario based on 70 seats.,70,0.002627378720211702,23,nan,False,0.7408495859,0.0
Chisholm,4,GRN,ALP+LNP,seat_pref_flow_shrunk,Medium,Seat-specific historical flow from one election.,73,0.003794586526247348,23,nan,False,1.0,0.0
Goldstein,1,OTH,ALP+GRN+IND+LNP+ON,seat_pref_flow_shrunk,Medium,Seat-specific historical flow from one election.,55,0.007226873927393435,17,nan,False,1.0,0.0
Goldstein,2,ALP,GRN+IND+LNP+ON,posterior_nearest_field,Low,"Nearest-field evidence at distance 1, based on 1 seats.",1,0.0,0,1.0,False,1.0,0.0
Goldstein,3,GRN,IND+LNP+ON,posterior_nearest_field,Medium,"Nearest-field evidence at distance 1, based on 10 seats.",10,0.0,0,1.0,False,0.6967231897030328,0.0
Goldstein,4,ON,IND+LNP,matrix_posterior_explicit_blend,Low,Exact pooled scenario based on 1 seats.,1,0.0,12,nan,False,0.8785751430087858,0.0
Hotham,1,OTH,ALP+GRN+LNP+ON,seat_pref_flow_shrunk,Medium,Seat-specific historical flow from one election.,73,0.00802382233899586,16,nan,False,1.0,0.0
Hotham,2,LNP,ALP+GRN+ON,posterior_nearest_field,Low,"Nearest-field evidence at distance 1, based on 1 seats.",1,0.0,0,1.0,False,0.0,0.0
Hotham,3,GRN,ALP+ON,posterior_nearest_field,Medium,"Nearest-field evidence at distance 1, based on 21 seats.",21,0.0,0,1.0,False,0.8765950825,0.0
Kooyong,1,OTH,ALP+GRN+IND+LNP+ON,seat_pref_flow_shrunk,Medium,Seat-specific historical flow from one election.,55,0.007226873927393435,17,nan,False,1.0,0.0
Kooyong,2,ALP,GRN+IND+LNP+ON,posterior_nearest_field,Low,"Nearest-field evidence at distance 1, based on 1 seats.",1,0.0,0,1.0,False,1.0,0.0
Kooyong,3,ON,GRN+IND+LNP,posterior_nearest_field,Medium,"Nearest-field evidence at distance 1, based on 24 seats.",24,0.0,0,1.0,False,0.9314285714327428,0.0
Kooyong,4,GRN,IND+LNP,posterior_nearest_field,Medium,"Nearest-field evidence at distance 1, based on 24 seats.",24,0.0,0,1.0,False,0.7625555917071233,0.0
Macnamara,1,OTH,ALP+GRN+LNP+ON,matrix_posterior_explicit_blend,High,Exact pooled scenario based on 73 seats.,73,0.00802382233899586,16,nan,False,0.7790608160022093,0.0
