stage,division_key,actual_winner,actual_runner_up,actual_final_two,actual_winner_share,division,winner,runner_up,final_two,winner_pct,elimination_order,winner_match,runner_up_match,final_two_match,absolute_winner_error_pp
1_pass_through_original_fallback,HOLT,ALP,ON,ALP+ON,0.5707450000000001,Holt,ALP,ON,ALP+ON,0.5758393834226883,OTH>GRN>LNP,True,True,True,0.5094383422688198
1_pass_through_original_fallback,HOTHAM,ALP,ON,ALP+ON,0.633213,Hotham,ALP,ON,ALP+ON,0.633212547718207,OTH>LNP>GRN,True,True,True,4.5228179301748384e-05
1_pass_through_original_fallback,HUGHES,LNP,ALP,ALP+LNP,0.504409,Hughes,LNP,ALP,ALP+LNP,0.5044331879783714,OTH>GRN>ON,True,True,True,0.002418797837144826
1_pass_through_original_fallback,HUME,LNP,ON,LNP+ON,0.54362,Hume,LNP,ON,LNP+ON,0.5443437756230713,IND>GRN>OTH>ALP,True,True,True,0.07237756230713543
1_pass_through_original_fallback,HUNTER,ALP,ON,ALP+ON,0.508983,Hunter,ALP,ON,ALP+ON,0.5089829266515445,LNP>GRN>OTH,True,True,True,7.334845542050772e-06
1_pass_through_original_fallback,INDI,IND,ON,IND+ON,0.550648,Indi,IND,ON,IND+ON,0.5507025364756084,ALP>GRN>OTH>LNP,True,True,True,0.005453647560837993
1_pass_through_original_fallback,ISAACS,ALP,ON,ALP+ON,0.617935,Isaacs,ALP,ON,ALP+ON,0.6072149212710017,OTH>GRN>LNP,True,True,True,1.0720078728998272
1_pass_through_original_fallback,JAGAJAGA,ALP,LNP,ALP+LNP,0.626059,Jagajaga,ALP,LNP,ALP+LNP,0.6254258020571644,OTH>IND>ON>GRN,True,True,True,0.06331979428356727
1_pass_through_original_fallback,KENNEDY,OTH,ON,ON+OTH,0.695107,Kennedy,OTH,ON,ON+OTH,0.6951069221003443,GRN>LNP>ALP,True,True,True,7.789965572602142e-06
1_pass_through_original_fallback,KINGSFORD SMITH,ALP,ON,ALP+ON,0.6354270000000001,Kingsford Smith,ALP,ON,ALP+ON,0.6354270981381978,IND>LNP>GRN,True,True,True,9.813819767945375e-06
1_pass_through_original_fallback,KINGSTON,ALP,ON,ALP+ON,0.6447620000000001,Kingston,ALP,ON,ALP+ON,0.6432011527149756,IND>OTH>LNP>GRN,True,True,True,0.15608472850244803
1_pass_through_original_fallback,KOOYONG,IND,LNP,IND+LNP,0.536718,Kooyong,IND,LNP,IND+LNP,0.5367180965697974,OTH>ALP>ON>GRN,True,True,True,9.656979738092986e-06
1_pass_through_original_fallback,LA TROBE,LNP,ALP,ALP+LNP,0.555296,La Trobe,LNP,ALP,ALP+LNP,0.5553236520989328,OTH>GRN>ON,True,True,True,0.002765209893274001
1_pass_through_original_fallback,LALOR,ALP,ON,ALP+ON,0.588128,Lalor,ALP,ON,ALP+ON,0.5918599233784466,IND>OTH>LNP>GRN,True,True,True,0.3731923378446633
1_pass_through_original_fallback,LEICHHARDT,ON,ALP,ALP+ON,0.539568,Leichhardt,ON,ALP,ALP+ON,0.5457913681095021,GRN>OTH>LNP,True,True,True,0.6223368109502081
1_pass_through_original_fallback,LILLEY,ALP,ON,ALP+ON,0.6143719999999999,Lilley,ALP,ON,ALP+ON,0.614372335202539,OTH>LNP>GRN,True,True,True,3.3520253905905406e-05
1_pass_through_original_fallback,LINDSAY,LNP,ALP,ALP+LNP,0.543576,Lindsay,LNP,ALP,ALP+LNP,0.5321508100059948,OTH>GRN>ON,True,True,True,1.1425189994005103
1_pass_through_original_fallback,LINGIARI,ALP,ON,ALP+ON,0.557702,Lingiari,ALP,ON,ALP+ON,0.5647950461266601,IND>OTH>GRN>LNP,True,True,True,0.7093046126660063
1_pass_through_original_fallback,LONGMAN,ON,ALP,ALP+ON,0.542654,Longman,ON,ALP,ALP+ON,0.5432183369516016,OTH>GRN>LNP,True,True,True,0.056433695160162944
1_pass_through_original_fallback,LYNE,LNP,IND,IND+LNP,0.553836,Lyne,LNP,IND,IND+LNP,0.5190064722256549,GRN>OTH>ALP>ON,True,True,True,3.4829527774345115
1_pass_through_original_fallback,LYONS,ALP,ON,ALP+ON,0.540679,Lyons,ALP,ON,ALP+ON,0.5711456925121969,IND>OTH>GRN>LNP,True,True,True,3.0466692512196913
