division,division_key,state,classification,scenario,eliminated,alive_set,historical_votes_at_elimination,position_conflict,current_seat_evidence_weight,flow_total_variation_pp,max_recipient_shift_pp,largest_shift_recipient,largest_shift_direction,largest_shift_signed_pp,encountered_current_path,encountered_unshrunk_path,current_model_transfer_pct,estimated_current_round_effect_pp,local_ALP,local_LNP,local_GRN,local_ON,local_IND,local_OTH,current_ALP,current_LNP,current_GRN,current_ON,current_IND,current_OTH
Brand,BRAND,WA,Outer metro,ON|ALP+GRN+LNP,ON,ALP+GRN+LNP,14163.0,False,0.4973863553484676,4.057539311890437,4.057539311890435,LNP,toward pooled evidence,4.057539311890435,False,False,,0.0,0.199675210054367,0.5227705994492692,0.2775541904963637,0.0,0.0,0.0,0.19313984340394816,0.5633459925681736,0.24351416402787823,0.0,0.0,0.0
Wide Bay,WIDE BAY,QLD,Rural,IND|ALP+GRN+LNP+ON+OTH,IND,ALP+GRN+LNP+ON+OTH,6066.0,False,0.49468416109185825,4.00760776330752,3.389833356731267,OTH,toward pooled evidence,3.389833356731267,True,True,4.486241999955137,0.17979098267096466,0.19188921859545,0.126772172766238,0.2571711177052423,0.1752390372568414,0.0,0.2489284536762281,0.19475876809665799,0.13008036733079265,0.2324651734559306,0.159868903873078,0.0,0.2828267872435408
Hughes,HUGHES,NSW,Outer metro,ON|ALP+GRN+LNP,ON,ALP+GRN+LNP,8852.0,False,0.4973863553484676,4.00196390352204,4.001963903522043,LNP,away from local history,-4.001963903522043,False,False,,0.0,0.1496836873023045,0.6831224582015364,0.167193854496159,0.0,0.0,0.0,0.1682747421039798,0.6431028191663161,0.18862243872970413,0.0,0.0,0.0
Cowan,COWAN,WA,Inner metro,OTH|ALP+GRN+LNP+ON,OTH,ALP+GRN+LNP+ON,9947.0,False,0.49210290739708495,3.9979125945347844,3.997912594534786,ON,toward pooled evidence,3.997912594534786,True,True,9.651178916961289,0.3858456974422812,0.1957374082637981,0.2585704232431889,0.2499246003820247,0.2957675681109882,0.0,0.0,0.1891618913155848,0.23193793041963964,0.24315348420843952,0.3357466940563361,0.0,0.0
Lyons,LYONS,TAS,Rural,IND|ALP+GRN+LNP+ON+OTH,IND,ALP+GRN+LNP+ON+OTH,2545.0,False,0.49468416109185825,3.9932746532834047,2.7386303351998817,GRN,away from local history,-2.7386303351998817,True,True,2.9135705070874076,0.11634687256506221,0.2223968565815324,0.1072691552062868,0.262475442043222,0.1332023575638506,0.0,0.274656188605108,0.20985041340069727,0.1204325334503884,0.23508913869122322,0.13907402424406373,0.0,0.29555389021362743
Fisher,FISHER,QLD,Rural,GRN|ALP+IND+LNP+ON,GRN,ALP+IND+LNP+ON,11959.0,False,0.4931708529322558,3.9884279530716866,3.988427953071688,IND,away from local history,-3.988427953071688,True,True,12.61693563847556,0.5032173878260229,0.4000334476126766,0.0660590350363742,0.0,0.0494188477297432,0.4844886696212058,0.0,0.41898458754912016,0.07272677891051234,0.0,0.06368424344987851,0.444604390090489,0.0
Fraser,FRASER,VIC,Inner metro,LNP|ALP+GRN,LNP,ALP+GRN,23087.0,False,0.497045392941384,3.9508166944721146,3.9508166944721146,ALP,toward pooled evidence,3.9508166944721146,False,False,,0.0,0.643868843938147,0.0,0.3561311560618529,0.0,0.0,0.0,0.6833770108828682,0.0,0.31662298911713177,0.0,0.0,0.0
Wright,WRIGHT,QLD,Rural,GRN|ALP+LNP+ON,GRN,ALP+LNP+ON,13840.0,False,0.4967857809627051,3.94648716862325,3.946487168623247,ON,away from local history,-3.946487168623247,False,False,,0.0,0.6735549132947977,0.1169797687861271,0.0,0.2094653179190751,0.0,0.0,0.6825928007394679,0.1474067530276895,0.0,0.17000044623284266,0.0,0.0
Goldstein,GOLDSTEIN,VIC,Inner metro,ALP|IND+LNP,ALP,IND+LNP,19235.0,False,0.47404403337557105,3.9401145416105927,3.9401145416105954,IND,away from local history,-3.9401145416105954,False,False,,0.0,0.0,0.1932934754354042,0.0,0.0,0.8067065245645958,0.0,0.0,0.2326946208515101,0.0,0.0,0.7673053791484898,0.0
Solomon,SOLOMON,NT,Inner metro,GRN|ALP+IND+LNP,GRN,ALP+IND+LNP,6528.0,False,0.4891380938285854,3.926138304991817,3.926138304991818,LNP,away from local history,-3.926138304991818,False,False,,0.0,0.3884803921568627,0.151501225490196,0.0,0.0,0.4600183823529412,0.0,0.4044203976515776,0.11223984244027786,0.0,0.0,0.48333975990814454,0.0
Corio,CORIO,VIC,Provincial,IND|ALP+GRN+LNP+ON,IND,ALP+GRN+LNP+ON,4460.0,False,0.49547153734336485,3.9173515866570585,3.9173515866570585,ON,away from local history,-3.9173515866570585,False,False,,0.0,0.2060538116591928,0.1603139013452914,0.2849775784753363,0.3486547085201794,0.0,0.0,0.229127028442601,0.17640345412474723,0.28498832477904296,0.30948119265360885,0.0,0.0
