State,DivisionID,Electorate,EliminatedModelCategory,FinishPosition,CategoryExitCount,AliveModelCategoriesAfter,RecipientModelCategory,ObservedExitShare,PassThroughShare,ShareDelta,AbsoluteShareDelta
NSW,111,Chifley,ON,4,5,ALP>LNP>GRN,GRN,0.21129170230966637,0.21129170230966635,-2.7755575615628914e-17,2.7755575615628914e-17
NSW,111,Chifley,ON,4,5,ALP>LNP>GRN,LNP,0.5656849566173775,0.5656849566173775,0.0,0.0
NSW,111,Chifley,OTH,5,4,ALP>LNP>GRN>ON,ALP,0.23223596007746164,0.23890816996529407,0.006672209887832431,0.006672209887832431
NSW,111,Chifley,OTH,5,4,ALP>LNP>GRN>ON,GRN,0.39862952480262176,0.3224838195291248,-0.07614570527349696,0.07614570527349696
NSW,111,Chifley,OTH,5,4,ALP>LNP>GRN>ON,LNP,0.17160732906301207,0.17174749085451646,0.00014016179150438957,0.00014016179150438957
NSW,111,Chifley,OTH,5,4,ALP>LNP>GRN>ON,ON,0.1975271860569045,0.2668605196510646,0.06933333359416011,0.06933333359416011
NSW,112,Cook,GRN,3,4,ALP>LNP,ALP,0.8167343364381817,0.8167343364381817,0.0,0.0
NSW,112,Cook,GRN,3,4,ALP>LNP,LNP,0.18326566356181834,0.18326566356181834,0.0,0.0
NSW,112,Cook,ON,4,3,ALP>LNP>GRN,ALP,0.12640299305184394,0.12640299305184394,0.0,0.0
NSW,112,Cook,ON,4,3,ALP>LNP>GRN,GRN,0.1712987707108498,0.1712987707108498,0.0,0.0
NSW,112,Cook,ON,4,3,ALP>LNP>GRN,LNP,0.7022982362373063,0.7022982362373063,0.0,0.0
NSW,112,Cook,OTH,5,2,ALP>LNP>GRN>ON,ALP,0.1359147609147609,0.12980475899938987,-0.006110001915371033,0.006110001915371033
NSW,112,Cook,OTH,5,2,ALP>LNP>GRN>ON,GRN,0.12370062370062371,0.10738255033557047,-0.01631807336505324,0.01631807336505324
NSW,112,Cook,OTH,5,2,ALP>LNP>GRN>ON,LNP,0.33497920997921,0.32870652837095793,-0.006272681608252062,0.006272681608252062
NSW,112,Cook,OTH,5,2,ALP>LNP>GRN>ON,ON,0.40540540540540543,0.4341061622940818,0.02870075688867635,0.02870075688867635
NSW,113,Cowper,ALP,3,9,LNP>IND,IND,0.6456468673718471,0.6456468673718471,0.0,0.0
NSW,113,Cowper,ALP,3,9,LNP>IND,LNP,0.354353132628153,0.354353132628153,0.0,0.0
NSW,113,Cowper,GRN,6,6,ALP>LNP>ON>IND>OTH,ALP,0.22934095082636197,0.22934095082636197,0.0,0.0
NSW,113,Cowper,GRN,6,6,ALP>LNP>ON>IND>OTH,IND,0.5258110589675576,0.5258110589675576,0.0,0.0
