Seat,Eliminated,ReportedAliveSet,AliveSet,AliveSetSource,AliveSetPositionConflict,RecordedPosition,TopThree
Forde,GRN,ALP+LNP+ON,ALP+LNP+ON,positive_recipients_validated_against_3cp,False,4.0,LNP+ALP+ON
Forde,IND,ALP+GRN+LNP+ON+OTH,ALP+GRN+LNP+ON+OTH,positive_recipients_validated_against_3cp,False,6.0,LNP+ALP+ON
Forde,ON,ALP+LNP,ALP+LNP,positive_recipients_validated_against_3cp,False,3.0,LNP+ALP+ON
Forde,OTH,ALP+GRN+LNP+ON,ALP+GRN+LNP+ON,positive_recipients_validated_against_3cp,False,5.0,LNP+ALP+ON
Forrest,GRN,ALP+IND+LNP+ON,ALP+IND+LNP+ON,positive_recipients_validated_against_3cp,False,5.0,LNP+ALP+IND
Forrest,IND,ALP+LNP,ALP+LNP,positive_recipients_validated_against_3cp,False,3.0,LNP+ALP+IND
Forrest,ON,ALP+IND+LNP,ALP+IND+LNP,positive_recipients_validated_against_3cp,False,4.0,LNP+ALP+IND
Forrest,OTH,ALP+GRN+IND+LNP+ON,ALP+GRN+IND+LNP+ON,positive_recipients_validated_against_3cp,False,6.0,LNP+ALP+IND
Fowler,GRN,ALP+IND+LNP,ALP+IND+LNP,positive_recipients_validated_against_3cp,True,3.0,IND+ALP+LNP
Fowler,LNP,ALP+IND,ALP+IND,positive_recipients_validated_against_3cp,False,3.0,IND+ALP+LNP
Fowler,ON,ALP+GRN+IND+LNP+OTH,ALP+GRN+IND+LNP+OTH,positive_recipients_validated_against_3cp,False,6.0,IND+ALP+LNP
Fowler,OTH,ALP+GRN+IND+LNP,ALP+GRN+IND+LNP,positive_recipients_validated_against_3cp,False,5.0,IND+ALP+LNP
Franklin,GRN,ALP+IND+LNP,ALP+IND+LNP,positive_recipients_validated_against_3cp,False,4.0,ALP+IND+LNP
Franklin,LNP,ALP+IND,ALP+IND,positive_recipients_validated_against_3cp,False,3.0,ALP+IND+LNP
Franklin,ON,ALP+GRN+IND+LNP+OTH,ALP+GRN+IND+LNP+OTH,positive_recipients_validated_against_3cp,False,6.0,ALP+IND+LNP
Franklin,OTH,ALP+GRN+IND+LNP,ALP+GRN+IND+LNP,positive_recipients_validated_against_3cp,False,5.0,ALP+IND+LNP
Fraser,LNP,ALP+GRN,ALP+GRN,positive_recipients_validated_against_3cp,False,3.0,ALP+GRN+LNP
Fraser,ON,ALP+GRN+LNP+OTH,ALP+GRN+LNP+OTH,positive_recipients_validated_against_3cp,False,5.0,ALP+GRN+LNP
Fraser,OTH,ALP+GRN+LNP+ON,ALP+GRN+LNP+ON,positive_recipients_validated_against_3cp,False,4.0,ALP+GRN+LNP
Fremantle,GRN,ALP+IND+LNP,ALP+IND+LNP,positive_recipients_validated_against_3cp,False,4.0,ALP+IND+LNP
Fremantle,LNP,ALP+IND,ALP+IND,positive_recipients_validated_against_3cp,False,3.0,ALP+IND+LNP
Fremantle,ON,ALP+GRN+IND+LNP,ALP+GRN+IND+LNP,positive_recipients_validated_against_3cp,False,5.0,ALP+IND+LNP
Fremantle,OTH,ALP+GRN+IND+LNP+ON,ALP+GRN+IND+LNP+ON,positive_recipients_validated_against_3cp,False,6.0,ALP+IND+LNP
Gellibrand,GRN,ALP+LNP,ALP+LNP,positive_recipients_validated_against_3cp,False,3.0,ALP+LNP+GRN
Gellibrand,ON,ALP+GRN+LNP,ALP+GRN+LNP,positive_recipients_validated_against_3cp,False,4.0,ALP+LNP+GRN
Gellibrand,OTH,ALP+GRN+LNP+ON,ALP+GRN+LNP+ON,positive_recipients_validated_against_3cp,False,5.0,ALP+LNP+GRN
Gilmore,GRN,ALP+IND+LNP,ALP+IND+LNP,positive_recipients_validated_against_3cp,False,4.0,ALP+LNP+IND
Gilmore,IND,ALP+LNP,ALP+LNP,positive_recipients_validated_against_3cp,False,3.0,ALP+LNP+IND
Gilmore,ON,ALP+GRN+IND+LNP,ALP+GRN+IND+LNP,positive_recipients_validated_against_3cp,False,4.0,ALP+LNP+IND
Gilmore,OTH,ALP+GRN+IND+LNP+ON,ALP+GRN+IND+LNP+ON,positive_recipients_validated_against_3cp,False,6.0,ALP+LNP+IND
Gippsland,GRN,ALP+LNP+ON,ALP+LNP+ON,positive_recipients_validated_against_3cp,False,4.0,LNP+ALP+ON
Gippsland,ON,ALP+LNP,ALP+LNP,positive_recipients_validated_against_3cp,False,3.0,LNP+ALP+ON
Gippsland,OTH,ALP+GRN+LNP+ON,ALP+GRN+LNP+ON,positive_recipients_validated_against_3cp,False,5.0,LNP+ALP+ON
Goldstein,ALP,IND+LNP,IND+LNP,positive_recipients_validated_against_3cp,False,3.0,LNP+IND+ALP
Goldstein,GRN,ALP+IND+LNP,ALP+IND+LNP,positive_recipients_validated_against_3cp,False,4.0,LNP+IND+ALP
Goldstein,ON,ALP+GRN+IND+LNP,ALP+GRN+IND+LNP,positive_recipients_validated_against_3cp,False,5.0,LNP+IND+ALP
Goldstein,OTH,ALP+GRN+IND+LNP+ON,ALP+GRN+IND+LNP+ON,positive_recipients_validated_against_3cp,False,6.0,LNP+IND+ALP
Gorton,GRN,ALP+LNP,ALP+LNP,positive_recipients_validated_against_3cp,False,3.0,ALP+LNP+GRN
Gorton,ON,ALP+GRN+LNP,ALP+GRN+LNP,positive_recipients_validated_against_3cp,False,4.0,ALP+LNP+GRN
Gorton,OTH,ALP+GRN+LNP+ON,ALP+GRN+LNP+ON,positive_recipients_validated_against_3cp,False,5.0,ALP+LNP+GRN
Grayndler,IND,ALP+GRN+LNP+ON,ALP+GRN+LNP+ON,positive_recipients_validated_against_3cp,False,5.0,ALP+GRN+LNP
Grayndler,LNP,ALP+GRN,ALP+GRN,positive_recipients_validated_against_3cp,False,3.0,ALP+GRN+LNP
Grayndler,ON,ALP+GRN+LNP,ALP+GRN+LNP,positive_recipients_validated_against_3cp,False,4.0,ALP+GRN+LNP
Grayndler,OTH,ALP+GRN+IND+LNP+ON,ALP+GRN+IND+LNP+ON,positive_recipients_validated_against_3cp,False,6.0,ALP+GRN+LNP
Greenway,GRN,ALP+LNP,ALP+LNP,positive_recipients_validated_against_3cp,False,3.0,ALP+LNP+GRN
Greenway,IND,ALP+GRN+LNP+ON,ALP+GRN+LNP+ON,positive_recipients_validated_against_3cp,False,5.0,ALP+LNP+GRN
Greenway,ON,ALP+GRN+LNP,ALP+GRN+LNP,positive_recipients_validated_against_3cp,False,4.0,ALP+LNP+GRN
Greenway,OTH,ALP+GRN+IND+LNP+ON,ALP+GRN+IND+LNP+ON,positive_recipients_validated_against_3cp,False,6.0,ALP+LNP+GRN
Grey**,GRN,ALP+IND+LNP+ON,ALP+IND+LNP+ON,positive_recipients_validated_against_3cp,False,5.0,LNP+ALP+IND
Grey**,IND,ALP+LNP,ALP+LNP,positive_recipients_validated_against_3cp,False,3.0,LNP+ALP+IND
Grey**,ON,ALP+IND+LNP,ALP+IND+LNP,positive_recipients_validated_against_3cp,False,4.0,LNP+ALP+IND
Grey**,OTH,ALP+GRN+IND+LNP+ON,ALP+GRN+IND+LNP+ON,positive_recipients_validated_against_3cp,False,5.0,LNP+ALP+IND
Griffith,LNP,ALP+GRN,ALP+GRN,positive_recipients_validated_against_3cp,False,3.0,ALP+GRN+LNP
Griffith,ON,ALP+GRN+LNP,ALP+GRN+LNP,positive_recipients_validated_against_3cp,False,4.0,ALP+GRN+LNP
Griffith,OTH,ALP+GRN+LNP+ON,ALP+GRN+LNP+ON,positive_recipients_validated_against_3cp,False,5.0,ALP+GRN+LNP
Groom,ALP,IND+LNP,IND+LNP,positive_recipients_validated_against_3cp,False,3.0,LNP+IND+ALP
Groom,GRN,ALP+IND+LNP+ON,ALP+IND+LNP+ON,positive_recipients_validated_against_3cp,False,5.0,LNP+IND+ALP
Groom,ON,ALP+IND+LNP,ALP+IND+LNP,positive_recipients_validated_against_3cp,False,4.0,LNP+IND+ALP
Groom,OTH,ALP+GRN+IND+LNP+ON,ALP+GRN+IND+LNP+ON,positive_recipients_validated_against_3cp,False,6.0,LNP+IND+ALP
Hasluck,GRN,ALP+LNP,ALP+LNP,positive_recipients_validated_against_3cp,False,3.0,ALP+LNP+GRN
Hasluck,ON,ALP+GRN+LNP,ALP+GRN+LNP,positive_recipients_validated_against_3cp,False,4.0,ALP+LNP+GRN
Hasluck,OTH,ALP+GRN+LNP+ON,ALP+GRN+LNP+ON,positive_recipients_validated_against_3cp,False,5.0,ALP+LNP+GRN
Hawke,GRN,ALP+LNP,ALP+LNP,positive_recipients_validated_against_3cp,False,3.0,ALP+LNP+GRN
Hawke,ON,ALP+GRN+LNP,ALP+GRN+LNP,positive_recipients_validated_against_3cp,False,4.0,ALP+LNP+GRN
Hawke,OTH,ALP+GRN+LNP+ON,ALP+GRN+LNP+ON,positive_recipients_validated_against_3cp,False,5.0,ALP+LNP+GRN
Herbert,GRN,ALP+LNP+OTH,ALP+LNP+OTH,positive_recipients_validated_against_3cp,False,4.0,LNP+ALP+OTH
Herbert,ON,ALP+GRN+LNP+OTH,ALP+GRN+LNP+OTH,positive_recipients_validated_against_3cp,False,5.0,LNP+ALP+OTH
Herbert,OTH,ALP+LNP,ALP+LNP,positive_recipients_validated_against_3cp,False,3.0,LNP+ALP+OTH
Hindmarsh,GRN,ALP+LNP,ALP+LNP,positive_recipients_validated_against_3cp,False,3.0,ALP+LNP+GRN
Hindmarsh,IND,ALP+GRN+LNP+ON+OTH,ALP+GRN+LNP+ON+OTH,positive_recipients_validated_against_3cp,False,6.0,ALP+LNP+GRN
Hindmarsh,ON,ALP+GRN+LNP,ALP+GRN+LNP,positive_recipients_validated_against_3cp,False,4.0,ALP+LNP+GRN
Hindmarsh,OTH,ALP+GRN+IND+LNP+ON,ALP+GRN+IND+LNP+ON,positive_recipients_validated_against_3cp,False,5.0,ALP+LNP+GRN
Hinkler,GRN,ALP+LNP+ON,ALP+LNP+ON,positive_recipients_validated_against_3cp,False,4.0,LNP+ALP+ON
Hinkler,IND,ALP+GRN+LNP+ON+OTH,ALP+GRN+LNP+ON+OTH,positive_recipients_validated_against_3cp,False,6.0,LNP+ALP+ON
Hinkler,ON,ALP+LNP,ALP+LNP,positive_recipients_validated_against_3cp,False,3.0,LNP+ALP+ON
Hinkler,OTH,ALP+GRN+LNP+ON,ALP+GRN+LNP+ON,positive_recipients_validated_against_3cp,False,5.0,LNP+ALP+ON
Holt,GRN,ALP+LNP,ALP+LNP,positive_recipients_validated_against_3cp,False,3.0,ALP+LNP+GRN
Holt,ON,ALP+GRN+LNP,ALP+GRN+LNP,positive_recipients_validated_against_3cp,False,4.0,ALP+LNP+GRN
Holt,OTH,ALP+GRN+LNP+ON,ALP+GRN+LNP+ON,positive_recipients_validated_against_3cp,False,5.0,ALP+LNP+GRN
Hotham,GRN,ALP+LNP,ALP+LNP,positive_recipients_validated_against_3cp,False,3.0,ALP+LNP+GRN
Hotham,ON,ALP+GRN+LNP,ALP+GRN+LNP,positive_recipients_validated_against_3cp,False,4.0,ALP+LNP+GRN
Hotham,OTH,ALP+GRN+LNP+ON,ALP+GRN+LNP+ON,positive_recipients_validated_against_3cp,False,5.0,ALP+LNP+GRN
Hughes,GRN,ALP+LNP,ALP+LNP,positive_recipients_validated_against_3cp,False,3.0,ALP+LNP+GRN
Hughes,ON,ALP+GRN+LNP,ALP+GRN+LNP,positive_recipients_validated_against_3cp,False,4.0,ALP+LNP+GRN
Hughes,OTH,ALP+GRN+LNP+ON,ALP+GRN+LNP+ON,positive_recipients_validated_against_3cp,False,5.0,ALP+LNP+GRN
Hume,GRN,ALP+LNP+ON,ALP+LNP+ON,positive_recipients_validated_against_3cp,False,4.0,LNP+ALP+ON
Hume,IND,ALP+GRN+LNP+ON,ALP+GRN+LNP+ON,positive_recipients_validated_against_3cp,False,5.0,LNP+ALP+ON
Hume,ON,ALP+LNP,ALP+LNP,positive_recipients_validated_against_3cp,False,3.0,LNP+ALP+ON
Hume,OTH,ALP+GRN+IND+LNP+ON,ALP+GRN+IND+LNP+ON,positive_recipients_validated_against_3cp,False,6.0,LNP+ALP+ON
Hunter,GRN,ALP+LNP+ON,ALP+LNP+ON,positive_recipients_validated_against_3cp,False,4.0,ALP+ON+LNP
Hunter,LNP,ALP+ON,ALP+ON,positive_recipients_validated_against_3cp,False,3.0,ALP+ON+LNP
Hunter,OTH,ALP+GRN+LNP+ON,ALP+GRN+LNP+ON,positive_recipients_validated_against_3cp,False,5.0,ALP+ON+LNP
Indi*,ALP,IND+LNP+ON,IND+LNP+ON,positive_recipients_validated_against_3cp,False,4.0,IND+LNP+ON
Indi*,GRN,ALP+IND+LNP+ON,ALP+IND+LNP+ON,positive_recipients_validated_against_3cp,False,5.0,IND+LNP+ON
Indi*,ON,IND+LNP,IND+LNP,positive_recipients_validated_against_3cp,False,3.0,IND+LNP+ON
Indi*,OTH,ALP+GRN+IND+LNP+ON,ALP+GRN+IND+LNP+ON,positive_recipients_validated_against_3cp,False,6.0,IND+LNP+ON
Isaacs,GRN,ALP+LNP,ALP+LNP,positive_recipients_validated_against_3cp,False,3.0,ALP+LNP+GRN
Isaacs,ON,ALP+GRN+LNP,ALP+GRN+LNP,positive_recipients_validated_against_3cp,False,4.0,ALP+LNP+GRN
Isaacs,OTH,ALP+GRN+LNP+ON,ALP+GRN+LNP+ON,positive_recipients_validated_against_3cp,False,5.0,ALP+LNP+GRN
Jagajaga,GRN,ALP+LNP,ALP+LNP,positive_recipients_validated_against_3cp,False,3.0,ALP+LNP+GRN
Jagajaga,IND,ALP+GRN+LNP,ALP+GRN+LNP,positive_recipients_validated_against_3cp,False,4.0,ALP+LNP+GRN
Jagajaga,ON,ALP+GRN+IND+LNP,ALP+GRN+IND+LNP,positive_recipients_validated_against_3cp,False,5.0,ALP+LNP+GRN
Jagajaga,OTH,ALP+GRN+IND+LNP+ON,ALP+GRN+IND+LNP+ON,positive_recipients_validated_against_3cp,False,6.0,ALP+LNP+GRN
Kennedy,ALP,LNP+OTH,LNP+OTH,positive_recipients_validated_against_3cp,False,3.0,OTH+LNP+ALP
Kennedy,GRN,ALP+LNP+ON+OTH,ALP+LNP+ON+OTH,positive_recipients_validated_against_3cp,False,5.0,OTH+LNP+ALP
Kennedy,ON,ALP+LNP+OTH,ALP+LNP+OTH,positive_recipients_validated_against_3cp,False,4.0,OTH+LNP+ALP
Kingsford Smith,GRN,ALP+LNP,ALP+LNP,positive_recipients_validated_against_3cp,False,3.0,ALP+LNP+GRN
Kingsford Smith,IND,ALP+GRN+LNP+ON,ALP+GRN+LNP+ON,positive_recipients_validated_against_3cp,False,5.0,ALP+LNP+GRN
Kingsford Smith,ON,ALP+GRN+LNP,ALP+GRN+LNP,positive_recipients_validated_against_3cp,False,4.0,ALP+LNP+GRN
Kingston,GRN,ALP+LNP,ALP+LNP,positive_recipients_validated_against_3cp,False,3.0,ALP+LNP+GRN
Kingston,ON,ALP+GRN+LNP,ALP+GRN+LNP,positive_recipients_validated_against_3cp,False,4.0,ALP+LNP+GRN
Kingston,OTH,ALP+GRN+LNP+ON,ALP+GRN+LNP+ON,positive_recipients_validated_against_3cp,False,5.0,ALP+LNP+GRN
