Seat,Eliminated,AliveSet,Recipient,Votes,Share, ,division_key,ReportedAliveSet,AliveSetSource,AliveSetPositionConflict,RecordedPosition,TopThree
Griffith,LNP,ALP+GRN,ALP,27110.0,0.7946651033269823,,GRIFFITH,ALP+GRN,positive_recipients_validated_against_3cp,False,3,ALP+GRN+LNP
Griffith,LNP,ALP+GRN,GRN,7005.0,0.2053348966730177,,GRIFFITH,ALP+GRN,positive_recipients_validated_against_3cp,False,3,ALP+GRN+LNP
Griffith,ON,ALP+GRN+LNP,ALP,747.0,0.1458984375,,GRIFFITH,ALP+GRN+LNP,positive_recipients_validated_against_3cp,False,4,ALP+GRN+LNP
Griffith,ON,ALP+GRN+LNP,LNP,3512.0,0.6859375,,GRIFFITH,ALP+GRN+LNP,positive_recipients_validated_against_3cp,False,4,ALP+GRN+LNP
Griffith,ON,ALP+GRN+LNP,GRN,861.0,0.1681640625,,GRIFFITH,ALP+GRN+LNP,positive_recipients_validated_against_3cp,False,4,ALP+GRN+LNP
Griffith,OTH,ALP+GRN+LNP+ON,ALP,611.0,0.1164474938059843,,GRIFFITH,ALP+GRN+LNP+ON,positive_recipients_validated_against_3cp,False,5,ALP+GRN+LNP
Griffith,OTH,ALP+GRN+LNP+ON,LNP,1578.0,0.3007432818753573,,GRIFFITH,ALP+GRN+LNP+ON,positive_recipients_validated_against_3cp,False,5,ALP+GRN+LNP
Griffith,OTH,ALP+GRN+LNP+ON,GRN,622.0,0.1185439298646845,,GRIFFITH,ALP+GRN+LNP+ON,positive_recipients_validated_against_3cp,False,5,ALP+GRN+LNP
Griffith,OTH,ALP+GRN+LNP+ON,ON,2436.0,0.4642652944539737,,GRIFFITH,ALP+GRN+LNP+ON,positive_recipients_validated_against_3cp,False,5,ALP+GRN+LNP
Moreton,GRN,ALP+LNP,ALP,19772.0,0.8856042282540536,,MORETON,ALP+LNP,positive_recipients_validated_against_3cp,False,3,ALP+LNP+GRN
Moreton,GRN,ALP+LNP,LNP,2554.0,0.1143957717459464,,MORETON,ALP+LNP,positive_recipients_validated_against_3cp,False,3,ALP+LNP+GRN
Moreton,ON,ALP+GRN+LNP,ALP,925.0,0.1642400568181818,,MORETON,ALP+GRN+LNP,positive_recipients_validated_against_3cp,False,4,ALP+LNP+GRN
Moreton,ON,ALP+GRN+LNP,LNP,3698.0,0.6566051136363636,,MORETON,ALP+GRN+LNP,positive_recipients_validated_against_3cp,False,4,ALP+LNP+GRN
Moreton,ON,ALP+GRN+LNP,GRN,1009.0,0.1791548295454545,,MORETON,ALP+GRN+LNP,positive_recipients_validated_against_3cp,False,4,ALP+LNP+GRN
Moreton,OTH,ALP+GRN+LNP+ON,ALP,1620.0,0.2319587628865979,,MORETON,ALP+GRN+LNP+ON,positive_recipients_validated_against_3cp,False,5,ALP+LNP+GRN
Moreton,OTH,ALP+GRN+LNP+ON,LNP,1433.0,0.2051832760595647,,MORETON,ALP+GRN+LNP+ON,positive_recipients_validated_against_3cp,False,5,ALP+LNP+GRN
Moreton,OTH,ALP+GRN+LNP+ON,GRN,985.0,0.1410366552119129,,MORETON,ALP+GRN+LNP+ON,positive_recipients_validated_against_3cp,False,5,ALP+LNP+GRN
Moreton,OTH,ALP+GRN+LNP+ON,ON,2946.0,0.4218213058419244,,MORETON,ALP+GRN+LNP+ON,positive_recipients_validated_against_3cp,False,5,ALP+LNP+GRN
Bonner,GRN,ALP+LNP,ALP,12790.0,0.8433893834487306,,BONNER,ALP+LNP,positive_recipients_validated_against_3cp,False,3,ALP+LNP+GRN
Bonner,GRN,ALP+LNP,LNP,2375.0,0.1566106165512693,,BONNER,ALP+LNP,positive_recipients_validated_against_3cp,False,3,ALP+LNP+GRN
Bonner,ON,ALP+GRN+LNP,ALP,1150.0,0.1624982337148509,,BONNER,ALP+GRN+LNP,positive_recipients_validated_against_3cp,False,4,ALP+LNP+GRN
Bonner,ON,ALP+GRN+LNP,LNP,4760.0,0.6726013847675568,,BONNER,ALP+GRN+LNP,positive_recipients_validated_against_3cp,False,4,ALP+LNP+GRN
Bonner,ON,ALP+GRN+LNP,GRN,1167.0,0.1649003815175922,,BONNER,ALP+GRN+LNP,positive_recipients_validated_against_3cp,False,4,ALP+LNP+GRN
Bonner,OTH,ALP+GRN+LNP+ON,ALP,1412.0,0.1623361692343067,,BONNER,ALP+GRN+LNP+ON,positive_recipients_validated_against_3cp,False,5,ALP+LNP+GRN
Bonner,OTH,ALP+GRN+LNP+ON,LNP,2309.0,0.2654633249022763,,BONNER,ALP+GRN+LNP+ON,positive_recipients_validated_against_3cp,False,5,ALP+LNP+GRN
Bonner,OTH,ALP+GRN+LNP+ON,GRN,1684.0,0.1936077259140032,,BONNER,ALP+GRN+LNP+ON,positive_recipients_validated_against_3cp,False,5,ALP+LNP+GRN
Bonner,OTH,ALP+GRN+LNP+ON,ON,3293.0,0.3785927799494136,,BONNER,ALP+GRN+LNP+ON,positive_recipients_validated_against_3cp,False,5,ALP+LNP+GRN
Bowman,GRN,ALP+LNP,ALP,13094.0,0.7700541049164903,,BOWMAN,ALP+LNP,positive_recipients_validated_against_3cp,False,3,LNP+ALP+GRN
Bowman,GRN,ALP+LNP,LNP,3910.0,0.2299458950835097,,BOWMAN,ALP+LNP,positive_recipients_validated_against_3cp,False,3,LNP+ALP+GRN
Bowman,ON,ALP+GRN+LNP,ALP,2105.0,0.1695119987115477,,BOWMAN,ALP+GRN+LNP,positive_recipients_validated_against_3cp,False,4,LNP+ALP+GRN
Bowman,ON,ALP+GRN+LNP,LNP,7832.0,0.6306973747785473,,BOWMAN,ALP+GRN+LNP,positive_recipients_validated_against_3cp,False,4,LNP+ALP+GRN
Bowman,ON,ALP+GRN+LNP,GRN,2481.0,0.1997906265099049,,BOWMAN,ALP+GRN+LNP,positive_recipients_validated_against_3cp,False,4,LNP+ALP+GRN
Bowman,IND,ALP+GRN+LNP+ON+OTH,ALP,964.0,0.23837784371909,,BOWMAN,ALP+GRN+LNP+ON+OTH,positive_recipients_validated_against_3cp,False,6,LNP+ALP+GRN
Bowman,IND,ALP+GRN+LNP+ON+OTH,LNP,484.0,0.1196834817012858,,BOWMAN,ALP+GRN+LNP+ON+OTH,positive_recipients_validated_against_3cp,False,6,LNP+ALP+GRN
Bowman,IND,ALP+GRN+LNP+ON+OTH,GRN,1058.0,0.26162215628091,,BOWMAN,ALP+GRN+LNP+ON+OTH,positive_recipients_validated_against_3cp,False,6,LNP+ALP+GRN
Bowman,IND,ALP+GRN+LNP+ON+OTH,ON,920.0,0.2274975272007913,,BOWMAN,ALP+GRN+LNP+ON+OTH,positive_recipients_validated_against_3cp,False,6,LNP+ALP+GRN
Bowman,IND,ALP+GRN+LNP+ON+OTH,OTH,618.0,0.1528189910979228,,BOWMAN,ALP+GRN+LNP+ON+OTH,positive_recipients_validated_against_3cp,False,6,LNP+ALP+GRN
Bowman,OTH,ALP+GRN+LNP+ON,ALP,1121.0,0.1443843379701185,,BOWMAN,ALP+GRN+LNP+ON,positive_recipients_validated_against_3cp,False,5,LNP+ALP+GRN
Bowman,OTH,ALP+GRN+LNP+ON,LNP,1692.0,0.2179289026275115,,BOWMAN,ALP+GRN+LNP+ON,positive_recipients_validated_against_3cp,False,5,LNP+ALP+GRN
Bowman,OTH,ALP+GRN+LNP+ON,GRN,951.0,0.1224884080370942,,BOWMAN,ALP+GRN+LNP+ON,positive_recipients_validated_against_3cp,False,5,LNP+ALP+GRN
Bowman,OTH,ALP+GRN+LNP+ON,ON,4000.0,0.5151983513652756,,BOWMAN,ALP+GRN+LNP+ON,positive_recipients_validated_against_3cp,False,5,LNP+ALP+GRN
Dickson,GRN,ALP+IND+LNP,ALP,5138.0,0.5312241521918941,,DICKSON,ALP+IND+LNP,positive_recipients_validated_against_3cp,False,4,ALP+LNP+IND
