Seat,Eliminated,AliveSet,Recipient,Votes,Share, 
Greenway,ON,ALP|GRN|LNP,ALP,1884.0,0.24773175542406312,
Greenway,ON,ALP|GRN|LNP,LNP,4294.0,0.5646285338593031,
Greenway,ON,ALP|GRN|LNP,GRN,1427.0,0.1876397107166338,
Greenway,IND,ALP|GRN|LNP|ON,ALP,696.0,0.20051858254105445,
Greenway,IND,ALP|GRN|LNP|ON,LNP,586.0,0.16882742725439354,
Greenway,IND,ALP|GRN|LNP|ON,GRN,1280.0,0.36876980697205414,
Greenway,IND,ALP|GRN|LNP|ON,ON,909.0,0.26188418323249785,
Greenway,OTH,ALP|GRN|IND|LNP|ON,ALP,527.0,0.12272938984629717,
Greenway,OTH,ALP|GRN|IND|LNP|ON,LNP,735.0,0.17116907312529112,
Greenway,OTH,ALP|GRN|IND|LNP|ON,GRN,276.0,0.06427573358174196,
Greenway,OTH,ALP|GRN|IND|LNP|ON,ON,1996.0,0.4648346530041919,
Greenway,OTH,ALP|GRN|IND|LNP|ON,IND,760.0,0.17699115044247787,
Lindsay,GRN,ALP|LNP|ON,ALP,8585.0,0.7495852615035362,
Lindsay,GRN,ALP|LNP|ON,LNP,1401.0,0.1223260281149044,
Lindsay,GRN,ALP|LNP|ON,ON,1467.0,0.12808871038155942,
Lindsay,ON,ALP|LNP,ALP,4323.0,0.3327432266009852,
Lindsay,ON,ALP|LNP,LNP,8669.0,0.6672567733990148,
Lindsay,IND,ALP|GRN|LNP|ON|OTH,ALP,153.0,0.1392174704276615,
Lindsay,IND,ALP|GRN|LNP|ON|OTH,LNP,127.0,0.11555959963603275,
Lindsay,IND,ALP|GRN|LNP|ON|OTH,GRN,123.0,0.11191992720655142,
Lindsay,IND,ALP|GRN|LNP|ON|OTH,ON,115.0,0.10464058234758872,
Lindsay,IND,ALP|GRN|LNP|ON|OTH,OTH,581.0,0.5286624203821656,
Lindsay,OTH,ALP|GRN|LNP|ON,ALP,1779.0,0.1603569497025419,
Lindsay,OTH,ALP|GRN|LNP|ON,LNP,2604.0,0.23472147106544078,
Lindsay,OTH,ALP|GRN|LNP|ON,GRN,2037.0,0.1836127636560303,
Lindsay,OTH,ALP|GRN|LNP|ON,ON,4674.0,0.42130881557598704,
McMahon,GRN,ALP|IND|LNP,ALP,5867.0,0.6128055149362858,
McMahon,GRN,ALP|IND|LNP,LNP,787.0,0.08220179653227491,
McMahon,GRN,ALP|IND|LNP,IND,2920.0,0.3049926885314393,
McMahon,ON,ALP|GRN|IND|LNP,ALP,1271.0,0.14875936329588016,
McMahon,ON,ALP|GRN|IND|LNP,LNP,3646.0,0.4267322097378277,
McMahon,ON,ALP|GRN|IND|LNP,GRN,651.0,0.0761938202247191,
McMahon,ON,ALP|GRN|IND|LNP,IND,2976.0,0.34831460674157305,
McMahon,IND,ALP|LNP,ALP,6067.0,0.391192210974273,
McMahon,IND,ALP|LNP,LNP,9442.0,0.608807789025727,
Hughes,GRN,ALP|LNP,ALP,11361.0,0.8251743172574085,
Hughes,GRN,ALP|LNP,LNP,2407.0,0.17482568274259153,
Hughes,ON,ALP|GRN|LNP,ALP,1325.0,0.14968368730230455,
Hughes,ON,ALP|GRN|LNP,LNP,6047.0,0.6831224582015364,
Hughes,ON,ALP|GRN|LNP,GRN,1480.0,0.16719385449615906,
Hughes,OTH,ALP|GRN|LNP|ON,ALP,1135.0,0.14819166993080038,
Hughes,OTH,ALP|GRN|LNP|ON,LNP,1858.0,0.24259041650345997,
Hughes,OTH,ALP|GRN|LNP|ON,GRN,1067.0,0.13931322626974801,
Hughes,OTH,ALP|GRN|LNP|ON,ON,3599.0,0.46990468729599166,
Hume,GRN,ALP|LNP|ON,ALP,7358.0,0.7062098090027834,
Hume,GRN,ALP|LNP|ON,LNP,1491.0,0.14310394471638352,
Hume,GRN,ALP|LNP|ON,ON,1570.0,0.1506862462808331,
Hume,ON,ALP|LNP,ALP,4652.0,0.32065067548938514,
Hume,ON,ALP|LNP,LNP,9856.0,0.6793493245106148,
Hume,IND,ALP|GRN|LNP|ON,ALP,1885.0,0.3357079252003562,
Hume,IND,ALP|GRN|LNP|ON,LNP,1065.0,0.18967052537845058,
Hume,IND,ALP|GRN|LNP|ON,GRN,1222.0,0.2176313446126447,
Hume,IND,ALP|GRN|LNP|ON,ON,1443.0,0.2569902048085485,
Hume,OTH,ALP|GRN|IND|LNP|ON,ALP,752.0,0.09492552385761172,
Hume,OTH,ALP|GRN|IND|LNP|ON,LNP,1720.0,0.21711688967432466,
Hume,OTH,ALP|GRN|IND|LNP|ON,GRN,742.0,0.09366321635950517,
Hume,OTH,ALP|GRN|IND|LNP|ON,ON,3528.0,0.4453420853319869,
Hume,OTH,ALP|GRN|IND|LNP|ON,IND,1180.0,0.14895228477657158,
Macarthur,GRN,ALP|LNP,ALP,12721.0,0.8195464501997165,
Macarthur,GRN,ALP|LNP,LNP,2801.0,0.18045354980028347,
Macarthur,ON,ALP|GRN|LNP,ALP,2168.0,0.20848158476776613,
Macarthur,ON,ALP|GRN|LNP,LNP,6314.0,0.6071737667083373,
Macarthur,ON,ALP|GRN|LNP,GRN,1917.0,0.18434464852389654,
Macarthur,OTH,ALP|GRN|LNP|ON,ALP,1396.0,0.18576180971390552,
Macarthur,OTH,ALP|GRN|LNP|ON,LNP,1463.0,0.1946773120425815,
Macarthur,OTH,ALP|GRN|LNP|ON,GRN,1593.0,0.2119760479041916,
Macarthur,OTH,ALP|GRN|LNP|ON,ON,3063.0,0.40758483033932136,
Werriwa,GRN,ALP|LNP,ALP,10012.0,0.7268239564428313,
Werriwa,GRN,ALP|LNP,LNP,3763.0,0.2731760435571688,
Werriwa,ON,ALP|GRN|LNP,ALP,1349.0,0.19200113862795332,
Werriwa,ON,ALP|GRN|LNP,LNP,4132.0,0.5881013378878451,
Werriwa,ON,ALP|GRN|LNP,GRN,1545.0,0.21989752348420152,
Werriwa,IND,ALP|GRN|LNP|ON|OTH,ALP,617.0,0.23804012345679013,
Werriwa,IND,ALP|GRN|LNP|ON|OTH,LNP,538.0,0.20756172839506173,
Werriwa,IND,ALP|GRN|LNP|ON|OTH,GRN,690.0,0.2662037037037037,
Werriwa,IND,ALP|GRN|LNP|ON|OTH,ON,157.0,0.060570987654320986,
Werriwa,IND,ALP|GRN|LNP|ON|OTH,OTH,590.0,0.22762345679012347,
Werriwa,OTH,ALP|GRN|LNP|ON,ALP,2065.0,0.20949578979405498,
Werriwa,OTH,ALP|GRN|LNP|ON,LNP,2511.0,0.2547428223597443,
Werriwa,OTH,ALP|GRN|LNP|ON,GRN,1889.0,0.19164045855737039,
Werriwa,OTH,ALP|GRN|LNP|ON,ON,3392.0,0.34412092928883026,
Dobell,GRN,ALP|LNP,ALP,11856.0,0.7429036907074378,
Dobell,GRN,ALP|LNP,LNP,4103.0,0.25709630929256216,
Dobell,ON,ALP|GRN|LNP,ALP,2603.0,0.20122139764996907,
Dobell,ON,ALP|GRN|LNP,LNP,7761.0,0.5999536178107606,
Dobell,ON,ALP|GRN|LNP,GRN,2572.0,0.19882498453927025,
Dobell,OTH,ALP|GRN|LNP|ON,ALP,2738.0,0.25552963135790946,
Dobell,OTH,ALP|GRN|LNP|ON,LNP,1341.0,0.1251516565562296,
Dobell,OTH,ALP|GRN|LNP|ON,GRN,2740.0,0.25571628558096127,
Dobell,OTH,ALP|GRN|LNP|ON,ON,3896.0,0.36360242650489966,
Newcastle,LNP,ALP|GRN,ALP,18788.0,0.691497975708502,
Newcastle,LNP,ALP|GRN,GRN,8382.0,0.308502024291498,
Newcastle,ON,ALP|GRN|LNP,ALP,1892.0,0.2145124716553288,
Newcastle,ON,ALP|GRN|LNP,LNP,5064.0,0.5741496598639456,
Newcastle,ON,ALP|GRN|LNP,GRN,1864.0,0.2113378684807256,
