division_key,actual_winner,actual_runner_up,actual_final_two,actual_winner_pct,division,winner,runner_up,final_two,winner_pct,winner_match,runner_up_match,final_two_match,winner_diff_pp
DICKSON,ALP,LNP,ALP+LNP,50.5964,Dickson,LNP,ALP,ALP+LNP,0.5033616456286428,False,False,True,0.2602354371357194
PARRAMATTA,ALP,LNP,ALP+LNP,60.0432,Parramatta,ALP,LNP,ALP+LNP,0.5979808785317754,True,True,True,0.24511214682245708
BONNER,ALP,LNP,ALP+LNP,51.309,Bonner,ALP,LNP,ALP+LNP,0.5155082018888925,True,True,True,0.24182018888924972
REID,ALP,LNP,ALP+LNP,59.6772,Reid,ALP,LNP,ALP+LNP,0.5991793066548501,True,True,True,0.24073066548501032
SCULLIN,ALP,ON,ALP+ON,56.9373,Scullin,ALP,ON,ALP+ON,0.5670694038144147,True,True,True,0.2303596185585306
GRAYNDLER,ALP,GRN,ALP+GRN,60.83,Grayndler,ALP,GRN,ALP+GRN,0.6101743079838149,True,True,True,0.18743079838149157
SOLOMON,ALP,LNP,ALP+LNP,51.0367,Solomon,LNP,ALP,ALP+LNP,0.5121614916460456,False,False,True,0.17944916460456284
MACKELLAR,IND,LNP,IND+LNP,55.3434,Mackellar,IND,LNP,IND+LNP,0.5551901787862318,True,True,True,0.17561787862317857
MENZIES,LNP,ALP,ALP+LNP,50.5668,Menzies,LNP,ALP,ALP+LNP,0.5072293797492222,True,True,True,0.15613797492222403
HUNTER,ALP,ON,ALP+ON,50.8983,Hunter,ALP,ON,ALP+ON,0.507472384910779,True,True,True,0.1510615089221048
ASTON,ALP,LNP,ALP+LNP,50.6575,Aston,ALP,LNP,ALP+LNP,0.5077654172184951,True,True,True,0.11904172184951278
KOOYONG,IND,LNP,IND+LNP,53.6718,Kooyong,IND,LNP,IND+LNP,0.5374732487351992,True,True,True,0.07552487351992454
FOWLER,IND,ALP,ALP+IND,56.3923,Fowler,IND,ALP,ALP+IND,0.5633955070386603,True,True,True,0.05274929613397461
